"SUID","Family_Code","Family_Name","Lang_Name","LogNumSpeaker","name","Num_Speakers_M","Primary_Family_Code","Primary_Family_Name","selected","shared name","Viz_Family_Code","Viz_Family_Name"
"154","gem","Germanic","Luxembourgish","5.5910646070264995","ltz","0.39","ine","Indo-European","false","ltz","gem","Germanic"
"155","bat","Baltic","Lithuanian","6.6020599913279625","lit","4.0","ine","Indo-European","false","lit","bat","Baltic"
"156","itc","Italic","Latin","4.0","lat","0.01","ine","Indo-European","false","lat","itc","Italic"
"157","ira","Iranian","Kurdish","7.477121254719663","kur","30.0","ine","Indo-European","false","kur","ira","Iranian"
"158","gem","Germanic","K̦lsch","5.3979400086720375","ksh","0.25","ine","Indo-European","false","ksh","gem","Germanic"
"159","","Korean","Korean","7.892094602690481","kor","78.0","tut","Altaic","false","kor","","Korean"
"160","itc","Italic","Italian","7.845098040014257","ita","70.0","ine","Indo-European","false","ita","itc","Italic"
"161","gem","Germanic","Icelandic","5.505149978319906","isl","0.32","ine","Indo-European","false","isl","gem","Germanic"
"162","urj","Uralic","Hungarian","7.176091259055681","hun","15.0","urj","Uralic","false","hun","urj","Uralic"
"163","sem","Semitic","Hebrew","7.0","heb","10.0","afa","Afro-Asiatic","false","heb","sem","Semitic"
"164","sla","Slavic","Serbo-Croatian","7.361727836017593","hbs","23.0","ine","Indo-European","false","hbs","sla","Slavic"
"165","urj","Uralic","Finnish","6.778151250383644","fin","6.0","urj","Uralic","false","fin","urj","Uralic"
"166","urj","Uralic","Estonian","6.02938377768521","est","1.07","urj","Uralic","false","est","urj","Uralic"
"167","","Constructed","Esperanto","6.0","epo","1.0","ine","Indo-European","false","epo","","Constructed"
"168","grk","Greek","Modern Greek","7.176091259055681","ell","15.0","ine","Indo-European","false","ell","grk","Greek"
"169","gem","Germanic","Swedish","7.0","swe","10.0","ine","Indo-European","false","swe","gem","Germanic"
"170","gem","Germanic","Norwegian","6.698970004336019","nor","5.0","ine","Indo-European","false","nor","gem","Germanic"
"171","gem","Germanic","Danish","6.778151250383644","dan","6.0","ine","Indo-European","false","dan","gem","Germanic"
"172","cel","Celtic","Welsh","5.8750612633917","cym","0.75","ine","Indo-European","false","cym","cel","Celtic"
"173","sla","Slavic","Kashubian","4.698970004336019","csb","0.05","ine","Indo-European","false","csb","sla","Slavic"
"174","itc","Italic","Corsican","5.3979400086720375","cos","0.25","ine","Indo-European","false","cos","itc","Italic"
"175","cel","Celtic","Cornish","3.6020599913279625","cor","0.0040","ine","Indo-European","false","cor","cel","Celtic"
"176","trk","Turkic","Chuvash","6.0","chv","1.0","tut","Altaic","false","chv","trk","Turkic"
"177","sla","Slavic","Slovak","6.845098040014257","slk","7.0","ine","Indo-European","false","slk","sla","Slavic"
"178","sla","Slavic","Polish","7.633468455579586","pol","43.0","ine","Indo-European","false","pol","sla","Slavic"
"179","jpx","Japanese","Japanese","8.12057393120585","jpn","132.0","tut","Altaic","false","jpn","jpx","Japanese"
"180","sla","Slavic","Czech","7.079181246047625","ces","12.0","ine","Indo-European","false","ces","sla","Slavic"
"181","poz","Malayo-Polynesian","Cebuano","7.301029995663981","ceb","20.0","map","Austronesian","false","ceb","poz","Malayo-Polynesian"
"182","itc","Italic","Catalan","6.954242509439325","cat","9.0","ine","Indo-European","false","cat","itc","Italic"
"183","sla","Slavic","Macedonian","6.477121254719663","mkd","3.0","ine","Indo-European","false","mkd","sla","Slavic"
"184","sla","Slavic","Bulgarian","7.079181246047625","bul","12.0","ine","Indo-European","false","bul","sla","Slavic"
"185","cel","Celtic","Breton","5.3979400086720375","bre","0.25","ine","Indo-European","false","bre","cel","Celtic"
"186","poz","Malayo-Polynesian","Bikol","6.301029995663981","bik","2.0","map","Austronesian","false","bik","poz","Malayo-Polynesian"
"187","inc","Indic","Bengali","8.361727836017593","ben","230.0","ine","Indo-European","false","ben","inc","Indic"
"188","sla","Slavic","Belarusian","6.778151250383644","bel","6.0","ine","Indo-European","false","bel","sla","Slavic"
"189","gem","Germanic","Bavarian","7.079181246047625","bar","12.0","ine","Indo-European","false","bar","gem","Germanic"
"190","trk","Turkic","Turkish","7.845098040014257","tur","70.0","tut","Altaic","false","tur","trk","Turkic"
"191","sla","Slavic","Russian","8.444044795918076","rus","278.0","ine","Indo-European","false","rus","sla","Slavic"
"192","trk","Turkic","Azerbaijani","7.431363764158987","aze","27.0","tut","Altaic","false","aze","trk","Turkic"
"193","itc","Italic","Asturian","5.439332693830263","ast","0.275","ine","Indo-European","false","ast","itc","Italic"
"194","inc","Indic","Assamese","7.113943352306837","asm","13.0","ine","Indo-European","false","asm","inc","Indic"
"195","itc","Italic","Spanish","8.698970004336019","spa","500.0","ine","Indo-European","false","spa","itc","Italic"
"196","itc","Italic","Aragonese","4.0","arg","0.01","ine","Indo-European","false","arg","itc","Italic"
"197","itc","Italic","French","8.301029995663981","fra","200.0","ine","Indo-European","false","fra","itc","Italic"
"198","ira","Iranian","Persian","8.02938377768521","fas","107.0","ine","Indo-European","false","fas","ira","Iranian"
"199","gem","Germanic","German","8.267171728403014","deu","185.0","ine","Indo-European","false","deu","gem","Germanic"
"200","sem","Semitic","Arabic","8.724275869600788","ara","530.0","afa","Afro-Asiatic","false","ara","sem","Semitic"
"201","gem","Germanic","Old English","0.0","ang","1.0E-6","ine","Indo-European","false","ang","gem","Germanic"
"202","sem","Semitic","Amharic","7.3979400086720375","amh","25.0","afa","Afro-Asiatic","false","amh","sem","Semitic"
"203","gem","Germanic","Dutch","7.431363764158987","nld","27.0","ine","Indo-European","false","nld","gem","Germanic"
"204","gem","Germanic","English","9.176091259055681","eng","1500.0","ine","Indo-European","false","eng","gem","Germanic"
"205","gem","Germanic","Afrikaans","7.113943352306837","afr","13.0","ine","Indo-European","false","afr","gem","Germanic"
