"SUID","639_1","639_2","639_2_B","639_3","Common_Twitter_Wiki_Code","Documentation","Element_Scope","Family_Code","Family_Name","Final_Name","Lang_Name","Language_Type","LogNumSpeaker","name","Num_Speakers_M","Partner_Agency","Primary_Family_Code","Primary_Family_Name","Reference_Name","selected","shared name","Status","Twitter_CLD_Only_Code","Viz_Family_Code","Viz_Family_Name","Wiki_Only_Code"
"879","ln","lin","","lin","ln","SIL","I","nic","Niger-Kordofanian","Lingala","Lingala","L","7.3979400086720375","lin","25.0","JAC","nic","Niger-Kordofanian","Lingala","false","lin","A","","nic","Niger-Kordofanian",""
"880","","lez","","lez","","SIL","I","cau","Caucasian","Lezghian","Lezghian","L","5.894316062684439","lez","0.784","JAC","cau","Caucasian","Lezghian","false","lez","A","","cau","Caucasian",""
"881","","","","lbe","","SIL","I","cau","Caucasian","Lak","Lak","L","5.079181246047625","lbe","0.12","SIL","cau","Caucasian","Lak","false","lbe","A","","cau","Caucasian",""
"882","lo","lao","","lao","lo","SIL","I","tai","Tai","Lao","Lao","L","6.698970004336019","lao","5.0","JAC","tai","Tai","Lao","false","lao","A","","tai","Tai",""
"883","","lad","","lad","","SIL","I","itc","Italic","Ladino","Ladino","L","5.037426497940624","lad","0.109","JAC","ine","Indo-European","Ladino","false","lad","A","","itc","Italic",""
"884","","kum","","kum","","SIL","I","trk","Turkic","Kumyk","Kumyk","L","5.698970004336019","kum","0.5","JAC","tut","Altaic","Kumyk","false","kum","A","","trk","Turkic",""
"885","","krl","","krl","","SIL","I","","","Karelian","","L",,"krl",,"JAC","","Uralic","Karelian","false","krl","A","","","",""
"886","","krc","","krc","","SIL","I","trk","Turkic","Karachay-Balkar","Karachay-Balkar","L","5.477121254719663","krc","0.3","JAC","tut","Altaic","Karachay-Balkar","false","krc","A","","trk","Turkic",""
"887","","","","kpv","","SIL","I","urj","Uralic","Komi","Komi","L","5.466867620354109","kom","0.293","SIL","urj","Uralic","Komi-Zyrian","false","kom","A","","urj","Uralic",""
"888","","","","kjh","","SIL","I","","","Khakas","","L",,"kjh",,"SIL","","Altaic","Khakas","false","kjh","A","","","",""
"889","ky","kir","","kir","ky","SIL","I","trk","Turkic","Kirghiz","Kirghiz","L","6.698970004336019","kir","5.0","JAC","tut","Altaic","Kirghiz","false","kir","A","","trk","Turkic",""
"890","ki","kik","","kik","","SIL","I","nic","Niger-Kordofanian","Kikuyu","Kikuyu","L","6.698970004336019","kik","5.0","JAC","nic","Niger-Kordofanian","Kikuyu","false","kik","A","","nic","Niger-Kordofanian","ki"
"891","km","khm","","khm","km","SIL","I","aav","Austro-Asiatic","Central Khmer","Central Khmer","L","7.2552725051033065","khm","18.0","JAC","","Other","Central Khmer","false","khm","A","","aav","Austro-Asiatic",""
"892","","","","kca","","SIL","I","","","Khanty","","L",,"kca",,"SIL","","Uralic","Khanty","false","kca","A","","","",""
"893","","kbd","","kbd","","SIL","I","cau","Caucasian","Kabardian","Kabardian","L","6.301029995663981","kbd","2.0","JAC","cau","Caucasian","Kabardian","false","kbd","A","","cau","Caucasian",""
"894","kk","kaz","","kaz","kk","SIL","I","trk","Turkic","Kazakh","Kazakh","L","7.079181246047625","kaz","12.0","JAC","tut","Altaic","Kazakh","false","kaz","A","","trk","Turkic",""
"895","ka","kat","geo","kat","ka","SIL","I","cau","Caucasian","Georgian","Georgian","L","6.6020599913279625","kat","4.0","JAC","cau","Caucasian","Georgian","false","kat","A","","cau","Caucasian",""
"896","ks","kas","","kas","ks","SIL","I","inc","Indic","Kashmiri","Kashmiri","L","6.698970004336019","kas","5.0","JAC","ine","Indo-European","Kashmiri","false","kas","A","","inc","Indic",""
"897","kn","kan","","kan","kn","SIL","I","dra","Dravidian","Kannada","Kannada","L","7.672097857935717","kan","47.0","JAC","dra","Dravidian","Kannada","false","kan","A","","dra","Dravidian",""
"898","","kab","","kab","","SIL","I","ber","Berber","Kabyle","Kabyle","L","6.903089986991944","kab","8.0","JAC","afa","Afro-Asiatic","Kabyle","false","kab","A","","","Afro-Asiatic (Other)",""
"899","","kaa","","kaa","","SIL","I","trk","Turkic","Kara-Kalpak","Kara-Kalpak","L","5.6127838567197355","kaa","0.41","JAC","tut","Altaic","Kara-Kalpak","false","kaa","A","","trk","Turkic",""
"900","","","","jvn","","SIL","I","","","Caribbean Javanese","","L",,"jvn",,"SIL","","Other","Caribbean Javanese","false","jvn","A","","","",""
"901","","new","","new","","SIL","I","tbq","Tibeto-Burman","Newari","Newari","L","5.903089986991944","new","0.8","JAC","sit","Sino-Tibetan","Newari","false","new","A","","sit","Sino-Tibetan",""
"902","","","","npi","","SIL","I","inc","Indic","Nepali macrolanguage","Nepali","L","7.477121254719663","nep","30.0","SIL","ine","Indo-European","Nepali (individual language)","false","nep","A","","inc","Indic",""
"903","","inh","","inh","","SIL","I","ccn","North Caucasian","Ingush","Ingush","L","5.6020599913279625","inh","0.4","JAC","cau","Caucasian","Ingush","false","inh","A","","cau","Caucasian",""
"904","hy","hye","arm","hye","hy","SIL","I","hyx","Armenian","Armenian","Armenian","L","6.778151250383644","hye","6.0","JAC","ine","Indo-European","Armenian","false","hye","A","","hyx","Armenian",""
"905","eo","epo","","epo","eo","","I","","Constructed","Esperanto","Esperanto","C","6.0","epo","1.0","JAC","ine","Indo-European","Esperanto","false","epo","A","","","Constructed",""
"906","","","","hop","","SIL","I","","","Hopi","","L",,"hop",,"SIL","","Amerindian","Hopi","false","hop","A","","","",""
"907","","","","hns","","SIL","I","","Indo-European","Caribbean Hindustani","","L",,"hns",,"SIL","","Indo-European","Caribbean Hindustani","false","hns","A","","","",""
"908","","hit","","hit","","","I","","","Hittite","","A",,"hit",,"JAC","","Indo-European","Hittite","false","hit","A","","","",""
"909","sa","san","","san","sa","","I","inc","Indic","Sanskrit","Sanskrit","A","4.698970004336019","san","0.05","JAC","ine","Indo-European","Sanskrit","false","san","A","","inc","Indic",""
"910","","","","yih","","SIL","I","gem","Germanic","Yiddish","Yiddish","L","6.477121254719663","yid","3.0","SIL","ine","Indo-European","Western Yiddish","false","yid","A","","gem","Germanic",""
"911","","","","dyo","","SIL","I","","","Jola-Fonyi","","L",,"dyo",,"SIL","","Niger-Kordofanian","Jola-Fonyi","false","dyo","A","","","",""
"912","uk","ukr","","ukr","uk","SIL","I","sla","Slavic","Ukrainian","Ukrainian","L","7.653212513775344","ukr","45.0","JAC","ine","Indo-European","Ukrainian","false","ukr","A","","sla","Slavic",""
