SourceLanguageCode	TargetLanguageCode	SourceLanguageName	TargetLanguageName	SourcePopulation	TargetPopulations	Coocurrences	PhiCorrelation	Tstatistic
aar	pam	Afar	Pampanga	5	19	0	 -0.00000380	 -0.00001976
aar	pan	Afar	Panjabi	5	105	0	 -0.00000894	 -0.00007318
aar	pap	Afar	Papiamento	5	52	0	 -0.00000629	 -0.00004359
aar	pdc	Afar	Pennsylvania German	5	48	0	 -0.00000604	 -0.00003525
aar	pih	Afar	Pitcairn-Norfolk	5	77	0	 -0.00000766	 -0.00003672
aar	pli	Afar	Pali	5	49	0	 -0.00000611	 -0.00001058
aar	pms	Afar	Piemontese	5	238	0	 -0.00001346	 -0.00012040
aar	pnt	Afar	Pontic	5	114	0	 -0.00000932	 -0.00002946
aar	pol	Afar	Polish	5	21517	0	 -0.00012852	 -0.02786706
aar	por	Afar	Portuguese	5	22072	0	 -0.00013018	 -0.03201721
aar	pus	Afar	Pushto	5	46	0	 -0.00000592	 -0.00004916
aar	que	Afar	Quechua	5	143	0	 -0.00001043	 -0.00008853
aar	roh	Afar	Romansh	5	98	0	 -0.00000864	 -0.00008330
aar	rom	Afar	Romany	5	76	0	 -0.00000761	 -0.00003043
aar	ron	Afar	Romanian	5	6192	0	 -0.00006874	 -0.00725999
aar	run	Afar	Rundi	5	7	0	 -0.00000231	 -0.00000516
aar	rup	Afar	Macedo-Romanian	5	85	0	 -0.00000804	 -0.00005151
aar	rus	Afar	Russian	5	35178	0	 -0.00016478	 -0.04716287
aar	sag	Afar	Sango	5	51	0	 -0.00000623	 -0.00001246
aar	sah	Afar	Yakut	5	48	0	 -0.00000604	 -0.00004564
aar	san	Afar	Sanskrit	5	165	0	 -0.00001121	 -0.00013356
aar	scn	Afar	Sicilian	5	268	0	 -0.00001428	 -0.00021663
aar	sco	Afar	Scots	5	362	1	  0.02349011	  0.35323120
aar	sgs	Afar	Samogitian	5	139	0	 -0.00001029	 -0.00005443
aar	sin	Afar	Sinhala	5	265	0	 -0.00001420	 -0.00038271
aar	slk	Afar	Slovak	5	3485	0	 -0.00005154	 -0.00346672
aar	slv	Afar	Slovenian	5	2993	0	 -0.00004776	 -0.00355935
