MacroCode	MacroName	IndivCode	IndivName
hmn	Hmong	blu	Hmong Njua  (Retired 1/14/2008)
mlg	Malagasy	bmm	Northern Betsimisaraka Malagasy
hbs	Serbo-Croatian	bos	Bosnian
msa	Malay (macrolanguage)	btj	Bacanese Malay
bik	Bikol	bto	Rinconada Bikol
msa	Malay (macrolanguage)	bve	Berau Malay
msa	Malay (macrolanguage)	bvu	Bukit Malay
luy	Luyia	bxk	Bukusu
bua	Buriat	bxm	Mongolia Buriat
bua	Buriat	bxr	Russia Buriat
bua	Buriat	bxu	China Buriat
mlg	Malagasy	bzc	Southern Betsimisaraka Malagasy
zha	Zhuang	ccx	Northern Zhuang  (Retired 1/14/2008)
zha	Zhuang	ccy	Southern Zhuang  (Retired 7/18/2007)
zho	Chinese	cdo	Min Dong Chinese
oji	Ojibwa	ciw	Chippewa
zho	Chinese	cjy	Jinyu Chinese
kur	Kurdish	ckb	Central Kurdish
syr	Syriac	cld	Chaldean Neo-Aramaic
zho	Chinese	cmn	Mandarin Chinese
msa	Malay (macrolanguage)	coa	Cocos Islands Malay
zho	Chinese	cpx	Pu-Xian Chinese
hmn	Hmong	cqd	Chuanqiandian Cluster Miao
que	Quechua	cqu	Chilean Quechua
cre	Cree	crj	Southern East Cree
cre	Cree	crk	Plains Cree
cre	Cree	crl	Northern East Cree
cre	Cree	crm	Moose Cree
cre	Cree	csw	Swampy Cree
bik	Bikol	cts	Northern Catanduanes Bikol
cre	Cree	cwd	Woods Cree
zho	Chinese	czh	Huizhou Chinese
zho	Chinese	czo	Min Zhong Chinese
doi	Dogri (macrolanguage)	dgo	Dogri (individual language)
mwr	Marwari	dhd	Dhundari
din	Dinka	dib	South Central Dinka
din	Dinka	dik	Southwestern Dinka
din	Dinka	dip	Northeastern Dinka
zza	Zaza	diq	Dimli (individual language)
din	Dinka	diw	Northwestern Dinka
din	Dinka	dks	Southeastern Dinka
nep	Nepali macrolanguage	dty	Dotyali
msa	Malay (macrolanguage)	dup	Duano
bnc	Bontok	ebk	Eastern Bontok
est	Estonian	ekk	Standard Estonian
man	Mandingo	emk	Eastern Maninkakan
kln	Kalenjin	enb	Markweeta
ipk	Inupiaq	esi	North Alaskan Inupiatun
ipk	Inupiaq	esk	Northwest Alaska Inupiatun
kln	Kalenjin	eyo	Keiyo
aka	Akan	fat	Fanti
bik	Bikol	fbl	West Albay Bikol
ful	Fulah	ffm	Maasina Fulfulde
ful	Fulah	fub	Adamawa Fulfulde
ful	Fulah	fuc	Pulaar
ful	Fulah	fue	Borgu Fulfulde
ful	Fulah	fuf	Pular
ful	Fulah	fuh	Western Niger Fulfulde
ful	Fulah	fui	Bagirmi Fulfulde
ful	Fulah	fuq	Central-Eastern Niger Fulfulde
ful	Fulah	fuv	Nigerian Fulfulde
zho	Chinese	gan	Gan Chinese
orm	Oromo	gax	Borana-Arsi-Guji Oromo
orm	Oromo	gaz	West Central Oromo
grb	Grebo	gbo	Northern Grebo
gba	Gbaya (Central African Republic)	gbp	Gbaya-Bossangoa
gba	Gbaya (Central African Republic)	gbq	Gbaya-Bozoum
raj	Rajasthani	gda	Gade Lohar
grb	Grebo	gec	Gboloo Grebo
gon	Gondi	ggo	Southern Gondi
raj	Rajasthani	gju	Gujari
kpe	Kpelle	gkp	Guinea Kpelle
gba	Gbaya (Central African Republic)	gmm	Gbaya-Mbodomo
gon	Gondi	gno	Northern Gondi
grn	Guarani	gnw	Western Bolivian Guaraní
kok	Konkani (macrolanguage)	gom	Goan Konkani
grb	Grebo	grj	Southern Grebo
grb	Grebo	grv	Central Grebo
grb	Grebo	gry	Barclayville Grebo
gba	Gbaya (Central African Republic)	gso	Southwest Gbaya
grn	Guarani	gug	Paraguayan Guaraní
grn	Guarani	gui	Eastern Bolivian Guaraní
grn	Guarani	gun	Mbyá Guaraní
gba	Gbaya (Central African Republic)	gya	Northwest Gbaya
orm	Oromo	hae	Eastern Oromo
zho	Chinese	hak	Hakka Chinese
hai	Haida	hax	Southern Haida
hai	Haida	hdn	Northern Haida
hmn	Hmong	hea	Northern Qiandong Miao
msa	Malay (macrolanguage)	hji	Haji
hmn	Hmong	hma	Southern Mashan Hmong
hmn	Hmong	hmc	Central Huishui Hmong
hmn	Hmong	hmd	Large Flowery Miao
hmn	Hmong	hme	Eastern Huishui Hmong
hmn	Hmong	hmg	Southwestern Guiyang Hmong
