Identifier/Indicatif	English name/Nom anglais	French name/Nom français	639-2	Hierarchy/Hiérarchie
mno	Manobo languages	manobo, langues	g	map : poz : pqw : phi : mno	
mun	Munda languages	mounda, langues	g	aav : mun	
myn	Mayan languages	maya, langues	g	cai : myn	
nah	Nahuatl languages	nahuatl, langues	g	nai : azc : nah	
nai	North American Indian languages	nord-amérindiennes, langues	r	nai	
ngf	Trans-New Guinea languages	trans-nouvelle-guinée, langues		paa : ngf	
nic	Niger-Kordofanian languages	nigéro-kordofaniennes, langues	r	nic	
nub	Nubian languages	nubiennes, langues	g	ssa : sdv : nub	
omq	Oto-Manguean languages	otomangue, langues		cai : omq	
omv	Omotic languages	omotiques, langues		afa : omv	
oto	Otomian languages	otomi, langues	g	cai : omq : oto	
paa	Papuan languages	papoues, langues	r	paa	
phi	Philippine languages	philippines, langues	r	map : poz : pqw : phi	
plf	Central Malayo-Polynesian languages	malayo-polynésiennes centrales, langues		map : poz : plf	
poz	Malayo-Polynesian languages	malayo-polynésiennes, langues		map : poz	
pqe	Eastern Malayo-Polynesian languages	malayo-polynésiennes orientales, langues		map : poz : pqe	
pqw	Western Malayo-Polynesian languages	malayo-polynésiennes occidentales, langues		map : poz : pqw	
pra	Prakrit languages	prâkrit, langues	g	ine : iir : inc : pra	
qwe	Quechuan (family)	quechua (famille)		sai : qwe	
roa	Romance languages	romanes, langues	r	ine : itc : roa	
sai	South American Indian languages	sud-amérindiennes, langues	r	sai	
sal	Salishan languages	salishennes, langues	g	nai : sal	
sdv	Eastern Sudanic languages	soudaniques orientales, langues		ssa : sdv	
sem	Semitic languages	sémitiques, langues	r	afa : sem	
sgn	sign languages	langues des signes	g	sgn	
sio	Siouan languages	sioux, langues	g	nai : sio	
sit	Sino-Tibetan languages	sino-tibétaines, langues	r	sit	
sla	Slavic languages	slaves, langues	r	ine : sla	
smi	Sami languages	sames, langues	r	urj : fiu : smi	
son	Songhai languages	songhai, langues	g	ssa : son	
sqj	Albanian languages	albanaises, langues		ine : sqj	
ssa	Nilo-Saharan languages	nilo-sahariennes, langues	r	ssa	
syd	Samoyedic languages	samoyèdes, langues		urj : syd	
tai	Tai languages	tai, langues	r	tai	
tbq	Tibeto-Burman languages	tibéto-birmanes, langues		sit : tbq	
trk	Turkic languages	turques, langues		tut : trk	
tup	Tupi languages	tupi, langues	g	sai : tup	
tut	Altaic languages	altaïques, langues	r	tut	
tuw	Tungus languages	toungouses, langues		tut : tuw	
urj	Uralic languages	ouraliennes, langues		urj	
wak	Wakashan languages	wakashanes, langues	g	nai : wak	
wen	Sorbian languages	sorabes, langues	g	ine : sla : zlw : wen	
xgn	Mongolian languages	mongoles, langues		tut : xgn	
xnd	Na-Dene languages	na-déné, langues		nai : xnd	
ypk	Yupik languages	yupik, langues	g	esx : ypk	
zhx	Chinese (family)	chinois (famille)		sit : zhx	
zle	East Slavic languages	slaves orientales, langues		ine : sla : zle	
zls	South Slavic languages	slaves méridionales, langues		ine : sla : zls	
zlw	West Slavic languages	slaves occidentales, langues		ine : sla : zlw	
znd	Zande languages	zandé, langues	g	nic : alv : znd
