	wweight.new	wcommon.num.new
fra (pp) ita	0.0275598391015174	692
eng (pp) swe	0.275112901257171	2254
eng (pp) epo	0.291823899371069	232
eng (pp) lat	0.389583333333333	187
eng (pp) mal	0.406367041198502	217
eng (pp) sqi	0.288107202680067	172
eng (pp) kat	0.225	90
por (pp) spa	0.0103532434168272	403
eng (pp) hin	0.449367088607595	213
rus (pp) tur	0.0105390463026952	61
fra (pp) nld	0.0294538606403013	391
eng (pp) jpn	0.0737179487179487	2714
eng (pp) isl	0.3575	143
ita (pp) spa	0.0109955041746949	428
deu (pp) lat	0.152083333333333	73
eng (pp) eus	0.127931769722815	60
nld (pp) pol	0.00441014332965821	68
dan (pp) eng	0.00191270687823949	841
fra (pp) pol	0.0155003567027693	239
deu (pp) kor	0.0141856706769618	79
eng (pp) gle	0.477777777777778	86
deu (pp) sqi	0.202680067001675	121
eng (pp) fas	0.181749049429658	717
deu (pp) eng	0.0316676939032184	13924
fra (pp) nor	0.0159123055162659	90
eng (pp) slv	0.129965669445807	265
eng (pp) urd	0.395061728395062	64
ara (pp) fra	0.00381991814461119	168
fra (pp) jpn	0.00958822251195133	353
spa (pp) swe	0.00952032222629074	78
eng (pp) fil	0.628205128205128	147
ces (pp) eng	0.0016511595643304	726
deu (pp) por	0.0176086167251604	291
eng (pp) heb	0.141286584459961	951
fin (pp) rus	0.00243522965568558	72
cat (pp) fra	0.00216007276034561	95
jpn (pp) nld	0.00873822975517891	116
bul (pp) eng	0.00104846358010512	461
ces (pp) deu	0.00263040147519423	194
pol (pp) spa	0.00346820809248555	135
eng (pp) nld	0.252730696798493	3355
pol (pp) rus	0.0064263004802814	190
ita (pp) zho	0.00377125193199382	61
fin (pp) fra	0.00222828558435653	98
fin (pp) jpn	0.00206431986093003	76
fra (pp) zho	0.00797527047913447	129
rus (pp) swe	0.0111070425973392	91
eng (pp) lav	0.206642066420664	112
eng (pp) vie	0.168617251842219	389
fra (pp) hun	0.0129478538488826	73
jpn (pp) pol	0.00856086646345418	132
eng (pp) lit	0.191673894189072	221
cat (pp) eng	0.00100980006413595	444
fra (pp) rus	0.0117026314009335	346
nld (pp) rus	0.00294256916728675	87
epo (pp) fra	0.00170532060027285	75
deu (pp) pol	0.0374862183020948	578
rus (pp) zho	0.00377125193199382	61
nld (pp) swe	0.00891004516050287	73
jpn (pp) kor	0.0377087448374933	210
eng (pp) tam	0.397463002114165	188
eng (pp) pol	0.136714443219405	2108
fra (pp) por	0.0148251240469563	245
eng (pp) mar	0.35655737704918	87
ita (pp) rus	0.00585131570046675	173
deu (pp) slv	0.0367827366356057	75
deu (pp) spa	0.0221965317919075	864
eng (pp) glg	0.137546468401487	74
ita (pp) nld	0.00790960451977401	105
cat (pp) deu	0.00107114286876466	79
ces (pp) fra	0.00188722146430196	83
eng (pp) rus	0.131908273016303	3900
kor (pp) zho	0.00383307573415765	62
deu (pp) ukr	0.0213303396014594	76
fra (pp) hbs	0.0172509738452977	62
deu (pp) ita	0.0295113305985901	741
ita (pp) por	0.00925813869054823	153
fra (pp) tur	0.0171043538355218	99
ita (pp) pol	0.00791231597379856	122
eng (pp) fra	0.183015006821282	8049
deu (pp) slk	0.0532544378698225	63
ces (pp) rus	0.00213082594872489	63
eng (pp) tel	0.329230769230769	107
eng (pp) fin	0.207376253639599	1282
pol (pp) swe	0.00927621139997559	76
por (pp) rus	0.00243522965568558	72
eng (pp) ukr	0.127140050519225	453
fra (pp) swe	0.018308311973636	150
slk (pp) ces	0.0217152884404475	99
fin (pp) deu	0.00299648827844291	221
spa (pp) fra	0.0191678035470668	843
spa (pp) nld	0.00828625235404896	110
pol (pp) hun	0.0111741752394466	63
zho (pp) eng	0.00636355986363151	2798
por (pp) jpn	0.00255323772272925	94
ron (pp) eng	0.00163978794198653	721
deu (pp) ara	0.014218009478673	66
jpn (pp) deu	0.00852846663864521	629
deu (pp) bul	0.0316205533596838	64
swe (pp) ita	0.002708192281652	68
