	wsrc.name.new	wtgt.name.new	wweight.new	wcommon.num.new
jpn_eng	jpn	eng	0.00617251660825443	2714
spa_ita	spa	ita	0.0170456808315743	428
pol_nld	pol	nld	0.00512241054613936	68
eng_dan	eng	dan	0.280707610146862	841
pol_fra	pol	fra	0.00543428831286949	239
kor_deu	kor	deu	0.00107114286876466	79
eng_afr	eng	afr	0.486338797814208	89
sqi_deu	sqi	deu	0.00164061122937372	121
fas_eng	fas	eng	0.00163069064411143	717
eng_deu	eng	deu	0.188792320312394	13924
nor_fra	nor	fra	0.00204638472032742	90
fra_ara	fra	ara	0.036191296854804	168
jpn_fra	jpn	fra	0.00802637562528422	353
swe_spa	swe	spa	0.00200385356454721	78
eng_ces	eng	ces	0.159245448563281	726
por_deu	por	deu	0.00394560221279134	291
heb_eng	heb	eng	0.0021628825698047	951
rus_fin	rus	fin	0.0116467162730508	72
fra_cat	fra	cat	0.0261132490379329	95
nld_jpn	nld	jpn	0.00315080399826163	116
eng_bul	eng	bul	0.227766798418972	461
deu_ces	deu	ces	0.0425531914893617	194
spa_pol	spa	pol	0.00875543161035087	135
nld_eng	nld	eng	0.00763035859273899	3355
rus_pol	rus	pol	0.0123224593034568	190
zho_ita	zho	ita	0.00242940778207017	61
fra_fin	fra	fin	0.015852474927208	98
jpn_fin	jpn	fin	0.0122937560659981	76
zho_fra	zho	fra	0.0029331514324693	129
swe_rus	swe	rus	0.00307785970371373	91
deu_bar	deu	bar	0.504201680672269	60
hun_fra	hun	fra	0.00165984538426558	73
pol_jpn	pol	jpn	0.00358539765319426	132
eng_cat	eng	cat	0.122045079714129	444
rus_fra	rus	fra	0.00786721236925875	346
eng_aze	eng	aze	0.179669030732861	76
rus_nld	rus	nld	0.00655367231638418	87
fra_epo	fra	epo	0.0943396226415094	75
pol_deu	pol	deu	0.00783696934361992	578
zho_rus	zho	rus	0.0020631806805114	61
swe_nld	swe	nld	0.00549905838041431	73
kor_jpn	kor	jpn	0.00570404172099087	210
pol_eng	pol	eng	0.00479427598017699	2108
por_fra	por	fra	0.00557071396089131	245
rus_ita	rus	ita	0.00688995977537935	173
slv_deu	slv	deu	0.00101690778680189	75
spa_deu	spa	deu	0.0117147777039578	864
nld_ita	nld	ita	0.00418176749372735	105
deu_cat	deu	cat	0.0217152281473337	79
fra_ces	fra	ces	0.0182057468743145	83
rus_eng	rus	eng	0.00886986542822118	3900
zho_kor	zho	kor	0.0111330579996409	62
ukr_deu	ukr	deu	0.00103046655729258	76
hbs_fra	hbs	fra	0.00140973169622556	62
ita_deu	ita	deu	0.0100470489336027	741
por_ita	por	ita	0.00609343263371699	153
tur_fra	tur	fra	0.00225102319236016	99
pol_ita	pol	ita	0.00485881556414035	122
fra_eng	fra	eng	0.0183060376491673	8049
rus_ces	rus	ces	0.0138188199166484	63
fin_eng	fin	eng	0.00291568396896912	1282
swe_pol	swe	pol	0.00492898372138271	76
rus_por	rus	por	0.00435677114849328	72
ukr_eng	ukr	eng	0.00103026898435492	453
swe_fra	swe	fra	0.0034106412005457	150
