src.name	tgt.name	common.num	src.num	tgt.num	total.num	exposure	phi	ttest	pval	common.num.exp	exposure.exp
vie	cat	2	668	18004	2231920	0.000111086425238836	-0.000981198417077	-0.131648958190577	0.447631715251573	5.38848704254633	0.000299293881501129
tgk	ben	1	476	1878	2231920	0.00053248136315229	0.000634384742027	0.0274769949150002	0.489041103841707	0.400519731890032	0.000213269292806194
tcs	mwp	1	2	1	2231920	1	0.707106622786105	0	0.5	8.96089465572243e-07	8.96089465572243e-07
ava	kat	3	186	2176	2231920	0.00137867647058824	0.004432887477222	0.206690608788431	0.418135414979289	0.181339832968924	8.33363202982186e-05
rom	nld	1	79	111371	2231920	8.97899812338939e-06	-0.001017586226856	-0.339588992900469	0.367083354396422	3.94203600487473	3.53955338901036e-05
kir	swa	3	708	323	2231920	0.00928792569659443	0.006060546276752	0.161035675096969	0.436055620652696	0.102460661672461	0.000317215670812574
non	deu	58	299	292124	2231920	0.000198545823006668	0.002165406581097	1.17036844292395	0.120926842079567	39.1345012366035	0.00013396537510305
eng	zho	40475	1225237	62650	2231920	0.646049481245012	0.033158411380542	36.7233500959561	2.24491123708283e-295	34392.4056641815	0.548960984264669
nor	cym	3	14530	2312	2231920	0.00129757785467128	-0.002087139654391	-0.251567984896996	0.400689282482239	15.051328004588	0.00651008996738234
enf	por	1	11	74721	2231920	1.33831185342809e-05	0.000708785292855	0.193744923515817	0.423188070509644	0.36826185526363	4.92849206064734e-06
tgk	bul	1	476	25742	2231920	3.88470204335328e-05	-0.001290282953894	-0.207009174060438	0.418002165587649	5.48997813541704	0.000213269292806194
sag	deu	2	3	292124	2231920	6.84640768988512e-06	0.001841733295059	0.995427440638787	0.159764621281458	0.392653858561239	1.34413419835836e-06
kpy	est	1	6	20605	2231920	4.85319097306479e-05	0.002699009294312	0.387410326916224	0.349228230614379	0.0553917703143482	2.68826839671673e-06
hit	spa	1	8	228910	2231920	4.36852911624656e-06	0.000140022181363	0.0669926764521494	0.473293795978003	0.820495358256568	3.58435786228897e-06
akk	ita	1	136	59830	2231920	1.67140230653518e-05	-0.000940205995935	-0.229972258807519	0.40905705623872	3.64568622531274	6.09340836589125e-05
grc	mdm	2	17342	2	2231920	1	0.010697240998588	1.40870863433867	0.0794696345817866	0.0155399835119538	0.00776999175597692
ara	lah	1	11884	4	2231920	0.25	0.004500893514897	0.49062300854591	0.311851084238511	0.0212982544177211	0.00532456360443027
yid	spa	23	1590	228910	2231920	0.000100476169673671	-0.007753135788394	-3.70954743650907	0.000103839548343669	163.073452453493	0.000712391125129933
sux	ron	2	133	18464	2231920	0.000108318890814558	0.000576555151601	0.0783394110938154	0.468779458577784	1.10026882683967	5.95899494605541e-05
kaa	tuk	1	129	741	2231920	0.00134952766531714	0.003096496657625	0.0841772855158592	0.46646910672215	0.0428281479622926	5.77977705294097e-05
xra	por	1	1	74721	2231920	1.33831185342809e-05	0.003596537166988	0.983111750522705	0.162777812427787	0.0334783504785118	4.48044732786121e-07
yid	ita	31	1590	59830	2231920	0.000518134715025907	-0.001208346394746	-0.295558878660868	0.383784003487053	42.6223610165239	0.000712391125129933
eng	gvn	1	1225237	1	2231920	1	0.00060673227956	0.671594109221223	0.250921128052287	0.548960984264669	0.548960984264669
bak	est	1	357	20605	2231920	4.85319097306479e-05	-0.000850480441864	-0.122075839375548	0.451420073307897	3.29581033370372	0.000159951969604645
rus	eus	26	101395	3923	2231920	0.00662758093295947	-0.00781865494423	-2.48971312375061	0.00639310683041493	178.21991155597	0.0454294956808488
non	ces	1	299	64442	2231920	1.55178299866547e-05	-0.001764680271177	-0.447965401302442	0.327089836333116	8.63299670239077	0.00013396537510305
amh	ita	5	58	59830	2231920	8.35701153267592e-05	0.001874777647481	0.458566972929504	0.323273411957077	1.55477794903043	2.5986594501595e-05
