	bsrc.name.new	btgt.name.new	bweight.new	bcommon.num.new
kor_zho	kor	zho	0.0222505985634477	1394
swe_hun	swe	hun	0.00594664387422939	327
pol_fra	pol	fra	0.00486029279175386	1159
aze_rus	aze	rus	0.00525540037693906	435
hbs_deu	hbs	deu	0.00470348208295108	1374
san_eng	san	eng	0.00812746934255677	1189
eng_fin	eng	fin	0.609344946078537	28195
rus_ben	rus	ben	0.223109691160809	419
deu_ita	deu	ita	0.130285809794418	7795
rus_bul	rus	bul	0.152163779038148	3917
ces_slk	ces	slk	0.19199633419887	3771
nld_spa	nld	spa	0.00432484382508409	990
ell_fra	ell	fra	0.00251192008823172	599
spa_slv	spa	slv	0.0172551952561568	323
swe_spa	swe	spa	0.00377877768555327	865
deu_jpn	deu	jpn	0.0673603630446242	8817
ita_cat	ita	cat	0.054099089091313	974
hbs_slv	hbs	slv	0.0354719803408302	664
swe_isl	swe	isl	0.0893460239484188	582
eus_spa	eus	spa	0.00270848805207287	620
deu_hun	deu	hun	0.185618941970212	10207
est_fin	est	fin	0.00851505262475417	394
eng_tha	eng	tha	0.880195599022005	1080
eng_hun	eng	hun	0.508974522177163	27988
rus_uzb	rus	uzb	0.804134929270947	2217
rus_kat	rus	kat	0.604779411764706	1316
mkd_sqi	mkd	sqi	0.0899807606926151	608
hun_fra	hun	fra	0.00331288292104016	790
jpn_swe	jpn	swe	0.00813246289476621	583
ara_eng	ara	eng	0.0110804270851846	1621
eng_deu	eng	deu	0.627572537689474	183329
rus_fra	rus	fra	0.0255511337188579	6093
swe_fin	swe	fin	0.120896457824555	5594
eng_cat	eng	cat	0.353810264385692	6370
rus_spa	rus	spa	0.0254685247477174	5830
eng_afr	eng	afr	0.95360824742268	740
spa_ces	spa	ces	0.0131901554886565	850
oci_fra	oci	fra	0.0017612795276416	420
ron_fra	ron	fra	0.00393771780108444	939
hbs_rus	hbs	rus	0.00514666795534722	426
rus_ukr	rus	ukr	0.471200708905627	2127
ben_eng	ben	eng	0.0033289130107865	487
deu_bul	deu	bul	0.0920674384274726	2370
nor_swe	nor	swe	0.0418619573708292	3001
ita_fra	ita	fra	0.0486867983712358	11610
spa_glg	spa	glg	0.347110923660903	823
pol_hun	pol	hun	0.00991107312371565	545
zho_fra	zho	fra	0.00618544596016992	1475
san_hin	san	hin	0.144894466628637	508
slk_hun	slk	hun	0.0200767426212515	1104
lat_deu	lat	deu	0.01251523325711	3656
nor_spa	nor	spa	0.00138482372985016	317
hin_eng	hin	eng	0.00246763366918671	361
ces_pol	ces	pol	0.0102711157455683	788
hun_hbs	hun	hbs	0.00917044142463807	413
rus_nor	rus	nor	0.0117152625046273	538
spa_nor	spa	nor	0.00969013348431069	445
rus_hun	rus	hun	0.0459728309298223	2528
deu_heb	deu	heb	0.0471672292674026	517
spa_nld	spa	nld	0.0132709592263695	1478
fra_ita	fra	ita	0.183553401303694	10982
rus_mol	rus	mol	0.586827956989247	2183
pol_bul	pol	bul	0.0120037293139616	309
eng_swe	eng	swe	0.682010936279433	48892
zho_jpn	zho	jpn	0.0139808851504664	1830
fra_eus	fra	eus	0.136120316084629	534
eng_mal	eng	mal	0.376871880199667	453
pol_slk	pol	slk	0.0246423298202739	484
rus_tuk	rus	tuk	0.781376518218624	579
eng_isl	eng	isl	0.562480810561867	3664
ita_spa	ita	spa	0.0545935083657333	12497
slk_pol	slk	pol	0.00436652763295099	335
fra_glg	fra	glg	0.13580767608604	322
eng_eus	eng	eus	0.236043843996941	926
ces_spa	ces	spa	0.00193962692761347	444
ces_nld	ces	nld	0.00281042641262088	313
dan_eng	dan	eng	0.0290715955541581	4253
deu_kor	deu	kor	0.0747604978064285	1670
swe_nld	swe	nld	0.0108645877293012	1210
eng_ben	eng	ben	0.366347177848775	688
rus_lav	rus	lav	0.205279312461633	1672
nor_isl	nor	isl	0.0704636168252993	459
ara_rus	ara	rus	0.00533997003817716	442
fin_rus	fin	rus	0.00496544725269415	411
swe_deu	swe	deu	0.0171810600977667	5019
ben_hin	ben	hin	0.139760410724472	490
ita_slv	ita	slv	0.0542764036540413	1016
hun_slk	hun	slk	0.0185835751743801	365
rus_est	rus	est	0.100072797864596	2062
ces_deu	ces	deu	0.0102730347386726	3001
fra_lit	fra	lit	0.0809218618501975	1250
rus_ell	rus	ell	0.0200933556998031	551
san_deu	san	deu	0.00131793348030289	385
hbs_ron	hbs	ron	0.0194432409012132	359
fra_slk	fra	slk	0.0667481289140064	1311
rus_mon	rus	mon	0.203466776723071	493
pol_deu	pol	deu	0.0100402568772165	2933
deu_dan	deu	dan	0.0739517585147919	4792
lat_eng	lat	eng	0.0174716666438815	2556
nor_nld	nor	nld	0.00456133104668181	508
grc_deu	grc	deu	0.00934192329284824	2729
rus_tam	rus	tam	0.233125354509359	411
grc_nld	grc	nld	0.0040674861498954	453
nor_fra	nor	fra	0.00239030793037075	570
eng_cym	eng	cym	0.955882352941177	2210
eng_tam	eng	tam	0.385138967668746	679
dan_fin	dan	fin	0.0162088565192021	750
eng_mar	eng	mar	0.400911161731207	352
deu_fas	deu	fas	0.0383087651160738	434
uzb_rus	uzb	rus	0.00625815493161939	518
eng_sin	eng	sin	0.450074515648286	302
ita_rus	ita	rus	0.0126492050451844	1047
mol_eng	mol	eng	0.00447728546625289	655
mol_rus	mol	rus	0.0225800995505727	1869
fra_sqi	fra	sqi	0.115287849637413	779
kir_rus	kir	rus	0.00442178514473493	366
spa_ita	spa	ita	0.0448604379074043	2684
por_nld	por	nld	0.00278348941825071	310
hun_rus	hun	rus	0.0114893925482047	951
tat_rus	tat	rus	0.00421640168172812	349
ita_por	ita	por	0.0426252325316845	3185
fra_tur	fra	tur	0.16085565100219	1910
heb_deu	heb	deu	0.00721269050129397	2107
lit_eng	lit	eng	0.00279574008503425	409
rus_dan	rus	dan	0.00984583095418139	638
zho_kor	zho	kor	0.0289193302891933	646
fra_fin	fra	fin	0.056061031747747	2594
yid_eng	yid	eng	0.00262485132678032	384
lit_rus	lit	rus	0.0072246653457691	598
rus_kaz	rus	kaz	0.620619396903015	1523
nld_hun	nld	hun	0.0058739020531379	323
eng_ron	eng	ron	0.440316291161178	8130
heb_nld	heb	nld	0.00290919539197816	324
rus_fin	rus	fin	0.0261070649002615	1208
bul_deu	bul	deu	0.00127000862647369	371
ita_swe	ita	swe	0.00889967637540453	638
eng_tur	eng	tur	0.455196227050699	5405
eng_sqi	eng	sqi	0.300281189877164	2029
jpn_spa	jpn	spa	0.00522039229391464	1195
ita_slk	ita	slk	0.0302428593248816	594
sqi_fra	sqi	fra	0.00142579771285273	340
rus_aze	rus	aze	0.704463208685163	1168
grc_eng	grc	eng	0.0147237754111584	2154
ita_jpn	ita	jpn	0.0115896190017801	1517
kor_jpn	kor	jpn	0.00949630614318566	1243
zho_spa	zho	spa	0.00213621073784457	489
deu_rus	deu	rus	0.0755811143865075	6256
ron_eng	ron	eng	0.0106976362666958	1565
ita_ces	ita	ces	0.0179230936345861	1155
deu_est	deu	est	0.0947828197039554	1953
dan_isl	dan	isl	0.10009210930304	652
ara_fas	ara	fas	0.0612587165680996	694
spa_jpn	spa	jpn	0.00778498468214496	1019
fin_swe	fin	swe	0.0380258899676375	2726
ita_hun	ita	hun	0.0282420120387714	1553
deu_lav	deu	lav	0.124248004910988	1012
rus_ces	rus	ces	0.0462120977002576	2978
fin_est	fin	est	0.0462023780635768	952
dan_deu	dan	deu	0.0099580999849379	2909
dan_swe	dan	swe	0.0482926012721794	3462
hbs_sqi	hbs	sqi	0.109368062749741	739
eng_spa	eng	spa	0.56006727534839	128205
grc_hbs	grc	hbs	0.0110356159516831	497
eng_msa	eng	msa	0.677991137370753	3672
hbs_slk	hbs	slk	0.0256096940074334	503
ita_ron	ita	ron	0.035907712305026	663
ron_hun	ron	hun	0.0118751022931859	653
swe_eng	swe	eng	0.0307736475863672	4502
rus_hye	rus	hye	0.728845254791959	1559
dan_nor	dan	nor	0.0489297302005531	2247
pol_hbs	pol	hbs	0.00917044142463807	413
ell_eng	ell	eng	0.0114085335010322	1669
rus_hbs	rus	hbs	0.0554667377209344	2498
eng_mol	eng	mol	0.141935483870968	528
ita_eng	ita	eng	0.0383611084528415	5612
ita_ell	ita	ell	0.0477353949383707	1309
rus_tat	rus	tat	0.892551892551893	731
rus_ita	rus	ita	0.0246698980444593	1476
rus_kaa	rus	kaa	0.76056338028169	432
deu_nld	deu	nld	0.135214732740121	15059
cym_eng	cym	eng	0.00333574856111666	488
dan_nld	dan	nld	0.00467805802228587	521
ita_lit	ita	lit	0.0290671327765909	449
spa_eng	spa	eng	0.0631878272519721	9244
rus_kor	rus	kor	0.0177724057659594	397
spa_eus	spa	eus	0.351006882487892	1377
eng_hin	eng	hin	0.262977752424415	922
spa_fin	spa	fin	0.0100494910419053	465
rus_por	rus	por	0.0178129307691278	1331
fas_eng	fas	eng	0.00431323225832912	631
ita_deu	ita	deu	0.0324245868192959	9472
ell_deu	ell	deu	0.00226273774150703	661
deu_ell	deu	ell	0.0737364160163373	2022
eng_dan	eng	dan	0.623003441411133	40370
ita_est	ita	est	0.0155302111138073	320
fra_nor	fra	nor	0.0405896827297868	1864
eng_jpn	eng	jpn	0.769628627963298	100739
eng_slv	eng	slv	0.515946364656232	9658
isl_deu	isl	deu	0.00107830921115691	315
ara_fra	ara	fra	0.00874349479793511	2085
nld_fra	nld	fra	0.0138553989507806	3304
spa_slk	spa	slk	0.0159360521358383	313
eng_heb	eng	heb	0.786424596295958	8620
lat_por	lat	por	0.0067852410968804	507
nor_dan	nor	dan	0.0458957699964506	2974
bul_eng	bul	eng	0.00298713549427864	437
lat_hbs	lat	hbs	0.00870414779287681	392
fra_slv	fra	slv	0.104813291308296	1962
pol_spa	pol	spa	0.00246821895067931	565
ita_zho	ita	zho	0.0108858739026337	682
rus_eng	rus	eng	0.0846582908389955	12385
ara_tur	ara	tur	0.0763853798214587	907
lat_ita	lat	ita	0.0232659201069697	1392
eng_lit	eng	lit	0.449990289376578	6951
cat_eng	cat	eng	0.00600161318987792	878
zho_mon	zho	mon	0.605447791993397	1467
