Lang_Code	Lang_Name	Lang_Long_Name	Num_Speakers_M	Blurb
nde	North Ndebele	North Ndebele	-1	
ndo	Ndonga	Ndonga	1	
nds	Low German	Low German	10	
neb	Toura (Côte d'Ivoire)	Toura (Côte d'Ivoire)	-1	
nem	Nemi	Nemi	-1	
nen	Nengone	Nengone	-1	
nep	Nepali macrolanguage	Nepali (macrolanguage)	30	
new	Newari	Newari	0.8	
nez	Nez Perce	Nez Perce	-1	
nfr	Nafaanra	Nafaanra	-1	
nga	Ngbaka	Ngbaka	-1	
ngk	Ngalkbun	Ngalkbun	-1	
nhr	Naro	Naro	-1	
nhu	Noone	Noone	-1	
nhv	Temascaltepec Nahuatl	Temascaltepec Nahuatl	-1	
nij	Ngaju	Ngaju	-1	
nio	Nganasan	Nganasan	-1	
niu	Niuean	Niuean	-1	
niv	Gilyak	Gilyak	-1	
nko	Nkonya	Nkonya	-1	
nld	Dutch	Dutch	27	
nna	Nyangumarta	Nyangumarta	-1	
nnh	Ngiemboon	Ngiemboon	-1	
nnw	Southern Nuni	Southern Nuni	-1	
nog	Nogai	Nogai	-1	
non	Old Norse	Old Norse	-1	
noo	Nootka	Nootka	-1	
nor	Norwegian	Norwegian	10	
nou	Ewage-Notu	Ewage-Notu	-1	
nov	Novial	Novial	-1	
nrm	Narom	Narom	-1	
nrn	Norn	Norn	-1	
nsk	Naskapi	Naskapi	-1	
nso	Pedi	Pedi	4	
nss	Nali	Nali	-1	
ntj	Ngaanyatjarra	Ngaanyatjarra	-1	
ntm	Nateni	Nateni	-1	
ntr	Delo	Delo	-1	
nus	Nuer	Nuer	-1	
nuy	Nunggubuyu	Nunggubuyu	-1	
nwb	Nyabwa	Nyabwa	-1	
nya	Nyanja	Nyanja	9	
nyj	Nyanga	Nyanga	-1	
nyo	Nyoro	Nyoro	-1	
nys	Nyunga	Nyunga	-1	
nza	Tigon Mbembe	Tigon Mbembe	-1	
nzy	Nzakambay	Nzakambay	-1	
obo	Obo Manobo	Obo Manobo	-1	
och	Old Chinese	Old Chinese	-1	
oci	Occitan (post 1500)	Occitan (post 1500)	2	
ofs	Old Frisian	Old Frisian	-1	
oge	Old Georgian	Old Georgian	-1	
oji	Ojibwa	Ojibwa	-1	
ojp	Old Japanese	Old Japanese	-1	
oka	Okanagan	Okanagan	-1	
oku	Oku	Oku	-1	
olo	Livvi	Livvi	-1	
oma	Omaha-Ponca	Omaha-Ponca	-1	
omn	Minoan	Minoan	-1	
omw	South Tairora	South Tairora	-1	
one	Oneida	Oneida	-1	
onw	Old Nubian	Old Nubian	-1	
opm	Oksapmin	Oksapmin	-1	
ori	Oriya (macrolanguage)	Oriya (macrolanguage)	31	
ork	Orokaiva	Orokaiva	-1	
orm	Oromo	Oromo	26	
orv	Old Russian	Old Russian	-1	
osa	Osage	Osage	-1	
osp	Old Spanish	Old Spanish	-1	
oss	Ossetian	Ossetian	0.52	
osx	Old Saxon	Old Saxon	-1	
ota	Ottoman Turkish (1500-1928)	Ottoman Turkish (1500-1928)	-1	
otk	Old Turkish	Old Turkish	-1	
oty	Old Tamil	Old Tamil	-1	
oym	Wayampi	Wayampi	-1	
ozm	Koonzime	Koonzime	-1	
pad	Paumarí	Paumarí	-1	
pag	Pangasinan	Pangasinan	2	
pal	Pahlavi	Pahlavi	-1	
pam	Pampanga	Pampanga	3	
pan	Panjabi	Panjabi	104	
pao	Northern Paiute	Northern Paiute	-1	
pap	Papiamento	Papiamento	0.329	
pau	Palauan	Palauan	-1	
paw	Pawnee	Pawnee	-1	
pbi	Parkwa	Parkwa	-1	
pcc	Bouyei	Bouyei	-1	
pcd	Picard	Picard	-1	
pcm	Nigerian Pidgin	Nigerian Pidgin	-1	
pdc	Pennsylvania German	Pennsylvania German	0.25	
pdt	Plautdietsch	Plautdietsch	-1	
peo	Old Persian (ca. 600-400 B.C.)	Old Persian (ca. 600-400 B.C.)	-1	
pfl	Pfaelzisch	Pfaelzisch	-1	
pgu	Pagu	Pagu	-1	
pia	Pima Bajo	Pima Bajo	-1	
pib	Yine	Yine	-1	
pih	Pitcairn-Norfolk	Pitcairn-Norfolk	0.0006	
pil	Yom	Yom	-1	
pir	Piratapuyo	Piratapuyo	-1	
pis	Pijin	Pijin	-1	
piu	Pintupi-Luritja	Pintupi-Luritja	-1	
piz	Pije	Pije	-1	
pjt	Pitjantjatjara	Pitjantjatjara	-1	
pkp	Pukapuka	Pukapuka	-1	
pli	Pali	Pali	-1	
plw	Brooke's Point Palawano	Brooke's Point Palawano	-1	
pms	Piemontese	Piemontese	2	
pnt	Pontic	Pontic	0.325	
pol	Polish	Polish	43	
poq	Texistepec Popoluca	Texistepec Popoluca	-1	
por	Portuguese	Portuguese	290	
pqm	Malecite-Passamaquoddy	Malecite-Passamaquoddy	-1	
prg	Prussian	Prussian	-1	
pri	Paicî	Paicî	-1	
pro	Old Provençal (to 1500)	Old Provençal (to 1500)	-1	
prq	Ashéninka Perené	Ashéninka Perené	-1	
prt	Phai	Phai	-1	
psh	Southwest Pashayi	Southwest Pashayi	-1	
psi	Southeast Pashayi	Southeast Pashayi	-1	
pus	Pushto	Pushto	26	
pwm	Molbog	Molbog	-1	
quc	K'iche'	K'iche'	-1	
que	Quechua	Quechua	10	
raj	Rajasthani	Rajasthani	-1	
ram	Canela	Canela	-1	
rar	Rarotongan	Rarotongan	-1	
rcf	Réunion Creole French	Réunion Creole French	-1	
rif	Tarifit	Tarifit	-1	
rmr	Caló	Caló	-1	
rmu	Tavringer Romani	Tavringer Romani	-1	
roh	Romansh	Romansh	0.035	
rom	Romany	Romany	2	
ron	Romanian	Romanian	28	
rop	Kriol	Kriol	-1	
rue	Rusyn	Rusyn	0.6	
rug	Roviana	Roviana	-1	
run	Rundi	Rundi	5	
rup	Macedo-Romanian	Macedo-Romanian	0.3	
rus	Russian	Russian	278	
rut	Rutul	Rutul	-1	
rwo	Rawa	Rawa	-1	
sac	Meskwaki	Meskwaki	-1	
sag	Sango	Sango	3	
sah	Yakut	Yakut	0.456	
san	Sanskrit	Sanskrit	0.05	
sar	Saraveca	Saraveca	-1	
sat	Santali	Santali	-1	
sba	Ngambay	Ngambay	-1	
sbg	Seget	Seget	-1	
sbl	Botolan Sambal	Botolan Sambal	-1	
scl	Shina	Shina	-1	
scn	Sicilian	Sicilian	8	
sco	Scots	Scots	2	
sda	Toraja-Sa'dan	Toraja-Sa'dan	-1	
see	Seneca	Seneca	-1	
sef	Cebaara Senoufo	Cebaara Senoufo	-1	
seh	Sena	Sena	-1	
sel	Selkup	Selkup	-1	
sep	Sìcìté Sénoufo	Sìcìté Sénoufo	-1	
ses	Koyraboro Senni Songhai	Koyraboro Senni Songhai	-1	
sga	Old Irish (to 900)	Old Irish (to 900)	-1	
sgb	Mag-antsi Ayta	Mag-antsi Ayta	-1	
sgs	Samogitian	Samogitian	0.5	
shh	Shoshoni	Shoshoni	-1	
shn	Shan	Shan	-1	
shp	Shipibo-Conibo	Shipibo-Conibo	-1	
sid	Sidamo	Sidamo	-1	
sig	Paasaal	Paasaal	-1	
sil	Tumulung Sisaala	Tumulung Sisaala	-1	
sin	Sinhala	Sinhala	19	
sjd	Kildin Sami	Kildin Sami	-1	
sjm	Mapun	Mapun	-1	
sjo	Xibe	Xibe	-1	
sjt	Ter Sami	Ter Sami	-1	
ska	Skagit	Skagit	-1	
sld	Sissala	Sissala	-1	
slh	Southern Puget Sound Salish	Southern Puget Sound Salish	-1	
slk	Slovak	Slovak	7	
slm	Pangutaran Sama	Pangutaran Sama	-1	
sln	Salinan	Salinan	-1	
slv	Slovenian	Slovenian	2	
sma	Southern Sami	Southern Sami	-1	
smd	Sama	Sama	-1	
sme	Northern Sami	Northern Sami	0.02	
smj	Lule Sami	Lule Sami	-1	
smn	Inari Sami	Inari Sami	-1	
smo	Samoan	Samoan	0.37	
sms	Skolt Sami	Skolt Sami	-1	
sna	Shona	Shona	7	
snd	Sindhi	Sindhi	41	
snk	Soninke	Soninke	-1	
snl	Sangil	Sangil	-1	
sog	Sogdian	Sogdian	-1	
sok	Sokoro	Sokoro	-1	
som	Somali	Somali	14	
sor	Somrai	Somrai	-1	
sot	Southern Sotho	Southern Sotho	5	
spa	Spanish	Spanish	500	
sqi	Albanian	Albanian	16	
squ	Squamish	Squamish	-1	
srd	Sardinian	Sardinian	2	
sre	Sara	Sara	-1	
srm	Saramaccan	Saramaccan	-1	
srn	Sranan Tongo	Sranan Tongo	0.3	
srr	Serer	Serer	-1	
srs	Sarsi	Sarsi	-1	
sru	Suruí	Suruí	-1	
ssw	Swati	Swati	3	
stq	Saterfriesisch	Saterfriesisch	0.002	
sub	Suku	Suku	-1	
suc	Western Subanon	Western Subanon	-1	
sum	Sumo-Mayangna	Sumo-Mayangna	-1	
sun	Sundanese	Sundanese	27	
suq	Suri	Suri	-1	
sux	Sumerian	Sumerian	-1	
swa	Swahili (macrolanguage)	Swahili (macrolanguage)	50	
swb	Maore Comorian	Maore Comorian	-1	
swe	Swedish	Swedish	10	
swg	Swabian	Swabian	-1	
sxn	Sangir	Sangir	-1	
sxw	Saxwe Gbe	Saxwe Gbe	-1	
syb	Central Subanen	Central Subanen	-1	
syr	Syriac	Syriac	-1	
szl	Silesian	Silesian	0.056	
taa	Lower Tanana	Lower Tanana	-1	
tab	Tabassaran	Tabassaran	-1	
tah	Tahitian	Tahitian	0.12	
tam	Tamil	Tamil	66	
tan	Tangale	Tangale	-1	
tat	Tatar	Tatar	8	
tau	Upper Tanana	Upper Tanana	-1	
tbl	Tboli	Tboli	-1	
tbt	Tembo (Kitembo)	Tembo (Kitembo)	-1	
tbw	Tagbanwa	Tagbanwa	-1	
tbz	Ditammari	Ditammari	-1	
tca	Ticuna	Ticuna	-1	
tcb	Tanacross	Tanacross	-1	
tcs	Torres Strait Creole	Torres Strait Creole	-1	
tcy	Tulu	Tulu	-1	
tdd	Tai Nüa	Tai Nüa	-1	
ted	Tepo Krumen	Tepo Krumen	-1	
tel	Telugu	Telugu	80	
tem	Timne	Timne	-1	
tet	Tetum	Tetum	0.8	
tew	Tewa (USA)	Tewa (USA)	-1	
tgk	Tajik	Tajik	4	
tha	Thai	Thai	73	
thd	Thayore	Thayore	-1	
tik	Tikar	Tikar	-1	
tir	Tigrinya	Tigrinya	7	
tiw	Tiwi	Tiwi	-1	
tiy	Tiruray	Tiruray	-1	
tiz	Tai Hongjin	Tai Hongjin	-1	
tkl	Tokelau	Tokelau	-1	
tkr	Tsakhur	Tsakhur	-1	
tkw	Teanu	Teanu	-1	
tlh	Klingon	Klingon	-1	
tli	Tlingit	Tlingit	-1	
tmh	Tamashek	Tamashek	-1	
tnd	Angosturas Tunebo	Angosturas Tunebo	-1	
tnm	Tabla	Tabla	-1	
tnr	Bedik	Bedik	-1	
tog	Tonga (Nyasa)	Tonga (Nyasa)	-1	
toh	Gitonga	Gitonga	-1	
toi	Tonga (Zambia)	Tonga (Zambia)	-1	
ton	Tonga (Tonga Islands)	Tonga (Tonga Islands)	0.105	
tpi	Tok Pisin	Tok Pisin	-1	
tpm	Tampulma	Tampulma	-1	
tpr	Tuparí	Tuparí	-1	
tpw	Tupí	Tupí	-1	
tqo	Toaripi	Toaripi	-1	
tri	Trió	Trió	-1	
tsc	Tswa	Tswa	-1	
tsg	Tausug	Tausug	-1	
tsn	Tswana	Tswana	4	
tso	Tsonga	Tsonga	3	
tsz	Purepecha	Purepecha	-1	
ttc	Tektiteko	Tektiteko	-1	
ttt	Muslim Tat	Muslim Tat	-1	
tue	Tuyuca	Tuyuca	-1	
tuk	Turkmen	Turkmen	9	
tum	Tumbuka	Tumbuka	2	
tuo	Tucano	Tucano	-1	
tur	Turkish	Turkish	70	
tuv	Turkana	Turkana	-1	
tuz	Turka	Turka	-1	
tvl	Tuvalu	Tuvalu	-1	
twf	Northern Tiwa	Northern Tiwa	-1	
txg	Tangut	Tangut	-1	
tyv	Tuvinian	Tuvinian	-1	
tzb	Bachajón Tzeltal	Bachajón Tzeltal	-1	
tzm	Central Atlas Tamazight	Central Atlas Tamazight	-1	
uby	Ubykh	Ubykh	-1	
ude	Udihe	Udihe	-1	
udl	Wuzlam	Wuzlam	-1	
udm	Udmurt	Udmurt	0.55	
udu	Uduk	Uduk	-1	
uga	Ugaritic	Ugaritic	-1	
uig	Uighur	Uighur	10	
ukr	Ukrainian	Ukrainian	45	
ulc	Ulch	Ulch	-1	
uli	Ulithian	Ulithian	-1	
uma	Umatilla	Umatilla	-1	
unp	Worora	Worora	-1	
urb	Urubú-Kaapor	Urubú-Kaapor	-1	
urd	Urdu	Urdu	60	
usp	Uspanteco	Uspanteco	-1	
uvl	Lote	Lote	-1	
uzb	Uzbek	Uzbek	24	
vag	Vagla	Vagla	-1	
vas	Vasavi	Vasavi	-1	
vec	Venetian	Venetian	2	
ven	Venda	Venda	0.875	
vep	Veps	Veps	0.000006	
vie	Vietnamese	Vietnamese	80	
vls	Vlaams	Vlaams	1	
vmw	Makhuwa	Makhuwa	-1	
vol	Volapük	Volapük	2.00E-05	
vot	Votic	Votic	-1	
vut	Vute	Vute	-1	
wal	Wolaytta	Wolaytta	-1	
wap	Wapishana	Wapishana	-1	
war	Waray (Philippines)	Waray (Philippines)	3	
way	Wayana	Wayana	-1	
wbl	Wakhi	Wakhi	-1	
wbm	Wa	Wa	-1	
wbp	Warlpiri	Warlpiri	-1	
wci	Waci Gbe	Waci Gbe	-1	
wgg	Wangganguru	Wangganguru	-1	
wib	Southern Toussian	Southern Toussian	-1	
wic	Wichita	Wichita	-1	
wim	Wik-Mungkan	Wik-Mungkan	-1	
wit	Wintu	Wintu	-1	
wiu	Wiru	Wiru	-1	
wlm	Middle Welsh	Middle Welsh	-1	
wln	Walloon	Walloon	0.6	
wls	Wallisian	Wallisian	-1	
wmt	Walmajarri	Walmajarri	-1	
wni	Ndzwani Comorian	Ndzwani Comorian	-1	
wob	Wè Northern	Wè Northern	-1	
wol	Wolof	Wolof	4	
wsk	Waskia	Waskia	-1	
wti	Berta	Berta	-1	
wwa	Waama	Waama	-1	
wya	Wyandot	Wyandot	-1	
xal	Kalmyk	Kalmyk	0.174	
xav	Xavánte	Xavánte	-1	
xeb	Eblan	Eblan	-1	
xed	Hdi	Hdi	-1	
xho	Xhosa	Xhosa	8	
xmf	Mingrelian	Mingrelian	0.5	
xnn	Northern Kankanay	Northern Kankanay	-1	
xno	Anglo-Norman	Anglo-Norman	-1	
xon	Konkomba	Konkomba	-1	
xra	Krahô	Krahô	-1	
xrb	Eastern Karaboro	Eastern Karaboro	-1	
xsb	Sambal	Sambal	-1	
xsm	Kasem	Kasem	-1	
xtm	Magdalena Peñasco Mixtec	Magdalena Peñasco Mixtec	-1	
xua	Alu Kurumba	Alu Kurumba	-1	
xuo	Kuo	Kuo	-1	
xuu	Kxoe	Kxoe	-1	
yaa	Yaminahua	Yaminahua	-1	
yam	Yamba	Yamba	-1	
yaq	Yaqui	Yaqui	-1	
yas	Nugunu (Cameroon)	Nugunu (Cameroon)	-1	
ybb	Yemba	Yemba	-1	
yid	Yiddish	Yiddish	3	
yiz	Azhe	Azhe	-1	
yka	Yakan	Yakan	-1	
ykg	Northern Yukaghir	Northern Yukaghir	-1	
yle	Yele	Yele	-1	
ylr	Yalarnnga	Yalarnnga	-1	
yml	Iamalele	Iamalele	-1	
ynn	Yana	Yana	-1	
yor	Yoruba	Yoruba	25	
yrb	Yareba	Yareba	-1	
yre	Yaouré	Yaouré	-1	
yrk	Nenets	Nenets	-1	
yua	Yucateco	Yucateco	-1	
yuc	Yuchi	Yuchi	-1	
yuk	Yuki	Yuki	-1	
yum	Quechan	Quechan	-1	
yus	Chan Santa Cruz Maya	Chan Santa Cruz Maya	-1	
yut	Yopno	Yopno	-1	
zap	Zapotec	Zapotec	-1	
zdj	Ngazidja Comorian	Ngazidja Comorian	-1	
zea	Zeeuws	Zeeuws	0.22	
zha	Zhuang	Zhuang	14	
zho	Chinese	Chinese	1575	Comparatively few non-natives speak Chinese. Even Japanese and Koreans don’t appear to be learning in droves.
zir	Ziriya	Ziriya	-1	
zmz	Mbandja	Mbandja	-1	
zna	Zan Gula	Zan Gula	-1	
zul	Zulu	Zulu	26	
zun	Zuni	Zuni	-1	
zza	Zaza	Zaza	2	
