Lang_Code	Lang_Name	Lang_Long_Name	Num_Speakers_M	Blurb
bno	Bantoanon	Bantoanon	-1	
bod	Tibetan	Tibetan	7	
bov	Tuwuli	Tuwuli	-1	
box	Buamu	Buamu	-1	
bpr	Koronadal Blaan	Koronadal Blaan	-1	
bps	Sarangani Blaan	Sarangani Blaan	-1	
bpy	Bishnupriya	Bishnupriya	0.45	
bra	Braj	Braj	-1	
bre	Breton	Breton	0.25	
brh	Brahui	Brahui	-1	
bsk	Burushaski	Burushaski	-1	
bss	Akoose	Akoose	-1	
bst	Basketo	Basketo	-1	
btg	Gagnoa Bété	Gagnoa Bété	-1	
bua	Buriat	Buriat	0.4	
bug	Buginese	Buginese	4	
bul	Bulgarian	Bulgarian	12	
bum	Bulu (Cameroon)	Bulu (Cameroon)	-1	
buu	Budu	Budu	-1	
bvr	Burarra	Burarra	-1	
bvz	Bauzi	Bauzi	-1	
bwi	Baniwa	Baniwa	-1	
bwu	Buli (Ghana)	Buli (Ghana)	-1	
byv	Medumba	Medumba	-1	
bzj	Belize Kriol English	Belize Kriol English	-1	
caa	Chortí	Chortí	-1	
cab	Garifuna	Garifuna	-1	
cag	Nivaclé	Nivaclé	-1	
cak	Kaqchikel	Kaqchikel	-1	
car	Galibi Carib	Galibi Carib	-1	
cat	Catalan	Catalan	9	
cay	Cayuga	Cayuga	-1	
cbk	Chavacano	Chavacano	-1	
cbs	Cashinahua	Cashinahua	-1	
cbt	Chayahuita	Chayahuita	-1	
ceb	Cebuano	Cebuano	20	
ces	Czech	Czech	12	
cgc	Kagayanen	Kagayanen	-1	
cha	Chamorro	Chamorro	0.06	
chc	Catawba	Catawba	-1	
che	Chechen	Chechen	1	
chg	Chagatai	Chagatai	-1	
chk	Chuukese	Chuukese	-1	
chl	Cahuilla	Cahuilla	-1	
chm	Mari (Russia)	Mari (Russia)	0.6	
cho	Choctaw	Choctaw	0.02	
chp	Chipewyan	Chipewyan	-1	
chr	Cherokee	Cherokee	0.018	
chs	Chumash	Chumash	-1	
chu	Church Slavic	Church Slavic	-1	
chv	Chuvash	Chuvash	1	
chy	Cheyenne	Cheyenne	0.000712	
chz	Ozumacín Chinantec	Ozumacín Chinantec	-1	
cim	Cimbrian	Cimbrian	-1	
cjk	Chokwe	Chokwe	-1	
cjo	Ashéninka Pajonal	Ashéninka Pajonal	-1	
cjs	Shor	Shor	-1	
cjv	Chuave	Chuave	-1	
cko	Anufo	Anufo	-1	
ckt	Chukot	Chukot	-1	
cme	Cerma	Cerma	-1	
cni	Asháninka	Asháninka	-1	
coe	Koreguaje	Koreguaje	-1	
coj	Cochimi	Cochimi	-1	
com	Comanche	Comanche	-1	
cop	Coptic	Coptic	-1	
coq	Coquille	Coquille	-1	
cor	Cornish	Cornish	0.000245	
cos	Corsican	Corsican	0.25	
cot	Caquinte	Caquinte	-1	
cre	Cree	Cree	0.117	
crg	Michif	Michif	-1	
crh	Crimean Tatar	Crimean Tatar	0.456	
cro	Crow	Crow	-1	
crs	Seselwa Creole French	Seselwa Creole French	-1	
csb	Kashubian	Kashubian	0.05	
ctu	Chol	Chol	-1	
cuk	San Blas Kuna	San Blas Kuna	-1	
cul	Culina	Culina	-1	
cuv	Cuvok	Cuvok	-1	
cym	Welsh	Welsh	0.75	
daa	Dangaléat	Dangaléat	-1	
daf	Dan	Dan	-1	
dag	Dagbani	Dagbani	-1	
dak	Dakota	Dakota	-1	
dan	Danish	Danish	6	
dar	Dargwa	Dargwa	-1	
dbq	Daba	Daba	-1	
ddn	Dendi (Benin)	Dendi (Benin)	-1	
ded	Dedua	Dedua	-1	
del	Delaware	Delaware	-1	
dep	Pidgin Delaware	Pidgin Delaware	-1	
des	Desano	Desano	-1	
deu	German	German	185	
dga	Southern Dagaare	Southern Dagaare	-1	
dgi	Northern Dagara	Northern Dagara	-1	
dgr	Dogrib	Dogrib	-1	
dgz	Daga	Daga	-1	
dhv	Dehu	Dehu	-1	
dih	Kumiai	Kumiai	-1	
div	Dhivehi	Dhivehi	0.3	
djc	Dar Daju Daju	Dar Daju Daju	-1	
dje	Zarma	Zarma	-1	
dji	Djinang	Djinang	-1	
djj	Djeebbana	Djeebbana	-1	
djk	Eastern Maroon Creole	Eastern Maroon Creole	-1	
djr	Djambarrpuyngu	Djambarrpuyngu	-1	
