	wweight.new	wcommon.num.new
fra (pp) jpn	0.00651142733937042	151
ces (pp) eng	0.00146509002698007	366
deu (pp) por	0.0119961093699341	111
eng (pp) heb	0.11933286351891	508
ita (pp) por	0.00648438344320761	60
jpn (pp) nld	0.00732696585110559	56
ces (pp) deu	0.00210965626361531	92
eng (pp) nld	0.245845872039775	1879
pol (pp) rus	0.00483200359590965	86
fra (pp) zho	0.00538672629332249	53
eng (pp) lav	0.218354430379747	69
eng (pp) vie	0.152966404574696	214
jpn (pp) pol	0.00545804794520548	51
eng (pp) lit	0.196078431372549	130
fra (pp) rus	0.00854028542532869	152
deu (pp) pol	0.0285744863013699	267
jpn (pp) kor	0.0293178519593614	101
eng (pp) tam	0.361842105263158	110
eng (pp) pol	0.118043664383562	1103
fra (pp) por	0.0118880363125473	110
eng (pp) mar	0.327044025157233	52
ita (pp) rus	0.00404539835936622	72
deu (pp) spa	0.0176914680734946	389
deu (pp) hbs	0.0349282296650718	73
eng (pp) rus	0.117204180244971	2086
eng (pp) ukr	0.115439429928741	243
ita (pp) pol	0.00738441780821918	69
eng (pp) fra	0.162868969786065	4210
eng (pp) tel	0.297560975609756	61
eng (pp) fin	0.204839153148199	745
deu (pp) ita	0.0213450676474452	325
fra (pp) swe	0.0149668590977122	70
fin (pp) deu	0.00217844940264624	95
spa (pp) fra	0.0148941931989632	385
spa (pp) nld	0.00680361114745519	52
zho (pp) eng	0.00629668473344168	1573
ron (pp) eng	0.00158918235166964	397
jpn (pp) deu	0.00678758971771882	296
tur (pp) eng	0.00228169758300175	570
por (pp) eng	0.00608052390978888	1519
nor (pp) eng	0.00336250170126574	840
spa (pp) jpn	0.00357912893488573	83
spa (pp) pol	0.00599315068493151	56
spa (pp) glg	0.292834890965732	94
jpn (pp) ita	0.00453172205438067	69
spa (pp) eus	0.283636363636364	78
hun (pp) deu	0.0023618977733954	103
spa (pp) cat	0.255213505461768	514
rus (pp) deu	0.00777362471049554	339
hun (pp) eng	0.00195345336930676	488
swe (pp) fin	0.0159472092383833	58
eng (pp) ara	0.169530355097365	444
zho (pp) jpn	0.0125916343251401	292
fra (pp) deu	0.0208213900800294	908
ron (pp) deu	0.00121534545621317	53
eng (pp) ell	0.295095594347465	355
tur (pp) deu	0.0019491389392098	85
spa (pp) rus	0.00488818968423418	87
deu (pp) dan	0.0475285171102662	75
ukr (pp) rus	0.0276997415439937	493
zho (pp) deu	0.00190327684652251	83
swe (pp) deu	0.00460914031507258	201
eng (pp) ben	0.454545454545455	105
epo (pp) deu	0.00123827650255681	54
swe (pp) nor	0.0217749917518971	66
spa (pp) eng	0.0153634303922118	3838
kor (pp) eng	0.00174529850208555	436
msa (pp) eng	0.00200148910789627	500
ita (pp) eng	0.00755361989320054	1887
nor (pp) deu	0.00291224288564287	127
heb (pp) deu	0.00126120754890046	55
rus (pp) jpn	0.00370849504096593	86
hbs (pp) eng	0.00184537295748037	461
nld (pp) deu	0.00802586622027563	350
ita (pp) fra	0.011992726991373	310
eng (pp) cym	0.557522123893805	63
swe (pp) eng	0.0050517585083302	1262
spa (pp) por	0.0213984653625851	198
nld (pp) fra	0.00669271538550814	173
spa (pp) ita	0.0122159464074609	186
eng (pp) dan	0.279467680608365	441
pol (pp) fra	0.00425548377113235	110
eng (pp) afr	0.458333333333333	55
sqi (pp) deu	0.00155931115136784	68
fas (pp) eng	0.00154915256951172	387
eng (pp) deu	0.170698708982091	7444
jpn (pp) eng	0.00560016652389378	1399
fra (pp) ara	0.0362733867888507	95
jpn (pp) fra	0.00584161863128167	151
eng (pp) ces	0.148901545972335	366
por (pp) deu	0.00254534614414456	111
heb (pp) eng	0.00203351293362262	508
por (pp) ita	0.00394062787337449	60
nld (pp) jpn	0.00241483398016386	56
eng (pp) bul	0.209606986899563	240
deu (pp) ces	0.0374288039056143	92
nld (pp) eng	0.0075215960674742	1879
rus (pp) pol	0.00920376712328767	86
zho (pp) fra	0.00205036945336377	53
pol (pp) jpn	0.00219922380336352	51
eng (pp) cat	0.114200595829196	230
rus (pp) fra	0.00588030484738288	152
pol (pp) deu	0.00612258937375312	267
kor (pp) jpn	0.00435532557136697	101
pol (pp) eng	0.00441528497201918	1103
por (pp) fra	0.00425548377113235	110
rus (pp) ita	0.00472875344804939	72
spa (pp) deu	0.00892017702767777	389
hbs (pp) deu	0.00167396638308606	73
rus (pp) eng	0.00835021255814326	2086
pol (pp) ita	0.00453172205438067	69
fra (pp) eng	0.0168525382884866	4210
fin (pp) eng	0.00298221877076545	745
ita (pp) deu	0.00745259006168451	325
swe (pp) fra	0.00270803512708422	70
