	bsrc.name.new	btgt.name.new	bweight.new	bcommon.num.new
dan_fas	dan	fas	0.00547268073086768	62
eng_mkd	eng	mkd	0.388874647526275	1517
arc_eng	arc	eng	0.00113470135480608	166
eng_gla	eng	gla	0.898678414096916	204
vie_eng	vie	eng	0.00104583920051403	153
pol_lit	pol	lit	0.0240176085971386	371
heb_pol	heb	pol	0.00269812304483837	207
heb_ell	heb	ell	0.0012763474582452	35
nor_jpn	nor	jpn	0.00103137677339506	135
nor_por	nor	por	0.00169965605385367	127
pol_jpn	pol	jpn	0.00110777505290581	145
fin_ces	fin	ces	0.00152074733869216	98
fin_bul	fin	bul	0.00174811591950897	45
mkd_tur	mkd	tur	0.016759306046825	199
bul_tur	bul	tur	0.00353713996968166	42
ell_hbs	ell	hbs	0.00457411848299139	206
fra_mlg	fra	mlg	0.25	51
nor_rus	nor	rus	0.00281496158121104	233
rus_guj	rus	guj	0.225190839694656	118
san_mal	san	mal	0.0848585690515807	102
rus_jpn	rus	jpn	0.0151344991710787	1981
grc_cat	grc	cat	0.0115529882248389	208
ukr_ron	ukr	ron	0.00222053726169844	41
hbs_swe	hbs	swe	0.00156232563329985	112
deu_ron	deu	ron	0.0847053726169844	1564
zho_hbs	zho	hbs	0.00204281019628741	92
pol_lav	pol	lav	0.00773480662983425	63
eng_ton	eng	ton	0.470588235294118	40
tur_rus	tur	rus	0.00193302082829942	160
dan_pol	dan	pol	0.00394942648592284	303
lit_est	lit	est	0.0022324678476098	46
eng_est	eng	est	0.570298471244843	11751
nor_hun	nor	hun	0.00272781829093091	150
eng_chp	eng	chp	0.878048780487805	108
zho_tiz	zho	tiz	0.986206896551724	143
swe_slv	swe	slv	0.00742561034243282	139
deu_tur	deu	tur	0.0943237325248442	1120
ben_mal	ben	mal	0.0765391014975042	92
heb_spa	heb	spa	0.00314097243458128	719
zho_ces	zho	ces	0.00172247912851867	111
deu_zho	deu	zho	0.0630806065442937	3952
ell_ron	ell	ron	0.00942374350086655	174
por_fas	por	fas	0.00379556889398888	43
slk_rus	slk	rus	0.00333446092881651	276
grc_eus	grc	eus	0.00841192964567933	33
ces_slv	ces	slv	0.007105080399594	133
grc_mol	grc	mol	0.0123655913978495	46
fas_rus	fas	rus	0.00254917121731987	211
hun_deu	hun	deu	0.00956100833892457	2793
eng_kor	eng	kor	0.765959351777241	17110
grc_slv	grc	slv	0.0059832255996581	112
rus_kan	rus	kan	0.217142857142857	152
nld_jpn	nld	jpn	0.0032698463630599	428
grc_spa	grc	spa	0.0109300598488489	2502
mkd_eng	mkd	eng	0.00165420317989801	242
jpn_hun	jpn	hun	0.00234592373020059	129
nld_zho	nld	zho	0.00154828411811652	97
rus_epo	rus	epo	0.0682656826568266	37
fra_eng	fra	eng	0.193541772048068	28314
fra_dan	fra	dan	0.0552940631799873	3583
jpn_nor	jpn	nor	0.00566165102454108	260
san_hbs	san	hbs	0.00117683630873079	53
spa_zho	spa	zho	0.00659217877094972	413
ita_ukr	ita	ukr	0.00841825431989366	38
rus_vie	rus	vie	0.684478371501272	538
dan_spa	dan	spa	0.00512865318247346	1174
nld_ron	nld	ron	0.002328856152513	43
cat_eus	cat	eus	0.0797858781544736	313
bul_hun	bul	hun	0.00174580370619578	96
por_fra	por	fra	0.00662157231939546	1579
fas_tur	fas	tur	0.0145696479703554	173
eng_asm	eng	asm	0.355513307984791	187
fra_ron	fra	ron	0.229636048526863	4240
ara_urd	ara	urd	0.235820895522388	237
ces_fra	ces	fra	0.00370288053073223	883
san_asm	san	asm	0.0722433460076046	38
