	bweight.new	bcommon.num.new
ita (pp) nld	0.0157401837103016	1753
ron (pp) bul	0.00295237355294849	76
ces (pp) nor	0.00230821157154367	106
san (pp) fra	0.0011280576022276	269
rus (pp) pol	0.0439259645464025	3370
rus (pp) lbe	0.923076923076923	60
zho (pp) uig	0.565188172043011	841
ita (pp) hbs	0.0629718447464251	2836
hin (pp) tel	0.062874251497006	42
rus (pp) abk	0.765217391304348	88
ori (pp) ben	0.0175718849840256	33
por (pp) ell	0.00244329370578368	67
ces (pp) jpn	0.00143628765480201	188
spa (pp) ukr	0.00996898537882144	45
nor (pp) bul	0.00182580996037604	47
grc (pp) fra	0.00891123570532955	2125
ben (pp) asm	0.11787072243346	62
san (pp) guj	0.0820610687022901	43
fra (pp) hbs	0.107958077982059	4862
nld (pp) ell	0.00266209612719714	73
fra (pp) ell	0.176135949237838	4830
sqi (pp) mkd	0.0130735708792617	51
hbs (pp) spa	0.00110960639552663	254
deu (pp) isl	0.0486644151059257	317
rus (pp) chm	0.921348314606742	82
ita (pp) pol	0.0413842544316997	3175
mkd (pp) bul	0.00178696293994251	46
glg (pp) cat	0.0106642968229282	192
ces (pp) rus	0.0108128352582999	895
ukr (pp) rus	0.0132291112936742	1095
lav (pp) rus	0.00651186391533369	539
por (pp) ron	0.00579506065857886	107
slv (pp) deu	0.00162944503019266	476
mar (pp) hin	0.0365088419851683	128
kaa (pp) rus	0.00114773111680278	95
nor (pp) ron	0.00178726169844021	33
deu (pp) cat	0.0954787824927794	1719
fra (pp) ukr	0.0354452813469207	160
ara (pp) hbs	0.00544009237054801	245
urd (pp) eng	0.00211902060234869	310
deu (pp) fin	0.0711892978323356	3294
por (pp) slv	0.00261766119985042	49
ell (pp) sqi	0.0165754032854817	112
ell (pp) cat	0.00238835814263497	43
orv (pp) rus	0.00124438215821775	103
hun (pp) pol	0.00450990615224192	346
swe (pp) kur	0.512437810945274	103
heb (pp) eng	0.0193514429846747	2831
ara (pp) sqi	0.0380346307532929	257
jpn (pp) ita	0.00514791910412836	308
deu (pp) ces	0.270972347226964	17462
cat (pp) glg	0.0906790383804302	215
jpn (pp) por	0.00131154561635952	98
nld (pp) eng	0.0195154961925985	2855
bul (pp) hbs	0.00153210764721556	69
bul (pp) pol	0.00143378519290928	110
rus (pp) mal	0.158069883527454	190
isl (pp) dan	0.00347227580672541	225
ara (pp) deu	0.00378264024866153	1105
deu (pp) ara	0.0434817424727739	543
nor (pp) ell	0.00189628765225002	52
eng (pp) mri	0.971786833855799	310
spa (pp) ast	0.227979274611399	44
zho (pp) bod	0.88953488372093	306
eng (pp) por	0.626677908486236	46826
fra (pp) bul	0.0930386139383109	2395
eng (pp) nor	0.650893887594452	29891
dan (pp) fao	0.168674698795181	70
swe (pp) heb	0.00501779034759602	55
ron (pp) ita	0.00122012368377068	73
eng (pp) ell	0.605316898840347	16599
spa (pp) kor	0.00675978153818605	151
bul (pp) fra	0.00117418635176107	280
ara (pp) dan	0.00155866602879674	101
mal (pp) tam	0.0402722631877482	71
swe (pp) pol	0.0127867570385819	981
eng (pp) mya	0.821167883211679	225
fra (pp) cat	0.180071095312153	3242
grc (pp) ita	0.0146247701821829	875
san (pp) ori	0.0997340425531915	75
glg (pp) spa	0.00343803241448604	787
eng (pp) pan	0.317708333333333	122
dan (pp) fas	0.00547268073086768	62
eng (pp) mkd	0.388874647526275	1517
arc (pp) eng	0.00113470135480608	166
eng (pp) gla	0.898678414096916	204
vie (pp) eng	0.00104583920051403	153
pol (pp) lit	0.0240176085971386	371
heb (pp) pol	0.00269812304483837	207
heb (pp) ell	0.0012763474582452	35
nor (pp) jpn	0.00103137677339506	135
nor (pp) por	0.00169965605385367	127
pol (pp) jpn	0.00110777505290581	145
fin (pp) ces	0.00152074733869216	98
fin (pp) bul	0.00174811591950897	45
mkd (pp) tur	0.016759306046825	199
bul (pp) tur	0.00353713996968166	42
ell (pp) hbs	0.00457411848299139	206
fra (pp) mlg	0.25	51
nor (pp) rus	0.00281496158121104	233
rus (pp) guj	0.225190839694656	118
san (pp) mal	0.0848585690515807	102
rus (pp) jpn	0.0151344991710787	1981
grc (pp) cat	0.0115529882248389	208
ukr (pp) ron	0.00222053726169844	41
hbs (pp) swe	0.00156232563329985	112
deu (pp) ron	0.0847053726169844	1564
zho (pp) hbs	0.00204281019628741	92
pol (pp) lav	0.00773480662983425	63
eng (pp) ton	0.470588235294118	40
tur (pp) rus	0.00193302082829942	160
dan (pp) pol	0.00394942648592284	303
lit (pp) est	0.0022324678476098	46
eng (pp) est	0.570298471244843	11751
nor (pp) hun	0.00272781829093091	150
eng (pp) chp	0.878048780487805	108
zho (pp) tiz	0.986206896551724	143
swe (pp) slv	0.00742561034243282	139
deu (pp) tur	0.0943237325248442	1120
ben (pp) mal	0.0765391014975042	92
heb (pp) spa	0.00314097243458128	719
zho (pp) ces	0.00172247912851867	111
deu (pp) zho	0.0630806065442937	3952
ell (pp) ron	0.00942374350086655	174
por (pp) fas	0.00379556889398888	43
slk (pp) rus	0.00333446092881651	276
grc (pp) eus	0.00841192964567933	33
ces (pp) slv	0.007105080399594	133
grc (pp) mol	0.0123655913978495	46
fas (pp) rus	0.00254917121731987	211
hun (pp) deu	0.00956100833892457	2793
eng (pp) kor	0.765959351777241	17110
grc (pp) slv	0.0059832255996581	112
rus (pp) kan	0.217142857142857	152
nld (pp) jpn	0.0032698463630599	428
grc (pp) spa	0.0109300598488489	2502
mkd (pp) eng	0.00165420317989801	242
jpn (pp) hun	0.00234592373020059	129
nld (pp) zho	0.00154828411811652	97
rus (pp) epo	0.0682656826568266	37
fra (pp) eng	0.193541772048068	28314
fra (pp) dan	0.0552940631799873	3583
jpn (pp) nor	0.00566165102454108	260
san (pp) hbs	0.00117683630873079	53
spa (pp) zho	0.00659217877094972	413
ita (pp) ukr	0.00841825431989366	38
rus (pp) vie	0.684478371501272	538
dan (pp) spa	0.00512865318247346	1174
nld (pp) ron	0.002328856152513	43
cat (pp) eus	0.0797858781544736	313
bul (pp) hun	0.00174580370619578	96
por (pp) fra	0.00662157231939546	1579
fas (pp) tur	0.0145696479703554	173
eng (pp) asm	0.355513307984791	187
fra (pp) ron	0.229636048526863	4240
