source	target	weight	common_num
ell	eng	0.011408534	1669
rus	hbs	0.055466738	2498
eng	mol	0.141935484	528
ita	eng	0.038361108	5612
ita	ell	0.047735395	1309
rus	tat	0.892551893	731
rus	ita	0.024669898	1476
rus	kaa	0.76056338	432
deu	nld	0.135214733	15059
cym	eng	0.003335749	488
dan	nld	0.004678058	521
ita	lit	0.029067133	449
spa	eng	0.063187827	9244
rus	kor	0.017772406	397
spa	eus	0.351006882	1377
eng	hin	0.262977752	922
spa	fin	0.010049491	465
rus	por	0.017812931	1331
fas	eng	0.004313232	631
ita	deu	0.032424587	9472
ell	deu	0.002262738	661
deu	ell	0.073736416	2022
eng	dan	0.623003441	40370
ita	est	0.015530211	320
fra	nor	0.040589683	1864
eng	jpn	0.769628628	100739
eng	slv	0.515946365	9658
isl	deu	0.001078309	315
ara	fra	0.008743495	2085
nld	fra	0.013855399	3304
spa	slk	0.015936052	313
eng	heb	0.786424596	8620
lat	por	0.006785241	507
nor	dan	0.04589577	2974
bul	eng	0.002987135	437
lat	hbs	0.008704148	392
fra	slv	0.104813291	1962
pol	spa	0.002468219	565
ita	zho	0.010885874	682
rus	eng	0.084658291	12385
ara	tur	0.07638538	907
lat	ita	0.02326592	1392
eng	lit	0.449990289	6951
cat	eng	0.006001613	878
zho	mon	0.605447792	1467
nld	swe	0.007839527	562
deu	slk	0.128557609	2525
eng	ces	0.49942584	32184
nld	fin	0.007261568	336
eng	bul	0.5234636	13475
deu	slv	0.187136065	3503
deu	spa	0.089222839	20424
ita	nor	0.008274721	380
spa	rus	0.010220848	846
ita	bul	0.015966125	411
rus	tgk	0.740112994	786
eng	ita	0.504245362	30169
lat	hun	0.00980196	539
ron	rus	0.005545354	459
zho	eng	0.013301981	1946
pol	ces	0.015641973	1008
fra	est	0.056588207	1166
eng	fra	0.628139376	149788
ita	fin	0.01648981	763
spa	dan	0.011450794	742
eng	ukr	0.099689854	450
