language	book.deg	book.bet	book.eig
gag	0	0	2.36056105182504e-21
gcf	1	772	0.00012821989036035
gcr	1	0	5.39873222569895e-05
gez	0	0	2.36056105182504e-21
gla	1	0	0.000819457825491601
gld	0	0	2.36056105182504e-21
gle	0	0	2.36056105182504e-21
glg	2	111	0.00497912587482042
gmh	0	0	2.36056105182504e-21
goh	0	0	2.36056105182504e-21
grc	0	0	2.36056105182504e-21
gsc	0	0	2.36056105182504e-21
gsw	1	0	0.000396484544820134
guj	2	801	4.31808480629742e-06
hat	0	0	2.36056105182504e-21
hau	1	2070	8.76732175031543e-07
haw	0	0	2.36056105182504e-21
hbs	5	1482	0.0417678883191167
heb	1	403	0.0346261100771451
hin	7	641	2.02732307779144e-05
hit	0	0	2.36056105182504e-21
hns	0	0	2.36056105182504e-21
hop	0	0	2.36056105182504e-21
hun	5	370	0.0798217616945499
hye	1	0	5.69510608697584e-05
iku	1	0	0.000241598136407611
inh	1	0	1.86305587194202e-06
isl	3	1778	0.00226179063542024
ita	5	637	0.149545553253208
jpn	5	3369	0.407917646591535
jvn	0	0	2.36056105182504e-21
kaa	1	0	1.57811791505675e-05
kab	0	0	2.36056105182504e-21
kal	1	0	0.000313132780148412
kan	2	0	5.55263952703374e-06
kas	0	0	2.36056105182504e-21
kat	1	0	4.80741475975644e-05
kaz	2	0	0.000510160965040559
kbd	1	0	2.73978804697358e-06
kca	0	0	2.36056105182504e-21
khm	1	0	7.4522234877681e-06
kik	0	0	2.36056105182504e-21
kir	1	0	4.6174561218328e-05
kjh	1	0	5.11427102101749e-07
kom	1	0	8.03671160445584e-07
kor	2	0	0.069644730505871
krc	1	0	3.25121514907544e-06
krl	0	0	2.36056105182504e-21
kum	1	0	2.00917790111399e-06
lad	0	0	2.36056105182504e-21
lao	1	0	7.74446754611213e-06
lat	1	72	1.51075907316803e-19
lav	2	9378	0.00777727822661646
lbe	1	0	2.19183043757886e-06
lez	1	0	2.22836094487187e-06
lin	0	0	2.36056105182504e-21
lit	3	491	0.0171422186419936
mal	4	273	6.95705572143703e-06
mar	2	0	5.84488330958368e-06
mdf	1	0	1.16897623337547e-06
mga	0	0	2.36056105182504e-21
mkd	1	4	0.000166877092820594
mlg	1	3039	3.25121514907544e-06
mlt	0	0	2.36056105182504e-21
mol	1	0	7.97460974205812e-05
mon	2	0	0.00209523128018804
mri	1	0	0.00124525453873724
msa	3	1183	0.0154636918147635
mya	1	3379	0.000903813778115737
myv	1	0	1.09591521878938e-06
nav	0	0	2.36056105182504e-21
nci	0	0	2.36056105182504e-21
nep	2	307	6.55292924840247e-05
nld	11	1414	0.488122075621758
nog	1	0	1.13244572608244e-06
non	0	0	2.36056105182504e-21
nor	5	2755	0.13277408091857
oci	1	0	0.00107974644513979
oji	1	0	0
ojp	0	0	2.36056105182504e-21
ori	3	323	3.764671160724e-08
orv	0	0	2.36056105182504e-21
oss	1	0	3.94529478764187e-06
ota	0	0	2.36056105182504e-21
pal	0	0	2.36056105182504e-21
pan	1	0	5.58916761582602e-06
pcd	1	0	6.07357375391132e-05
pli	0	0	2.36056105182504e-21
pol	5	546	0.262341242892434
por	4	0	0.2997668067504
pro	0	0	2.36056105182504e-21
raj	0	0	2.36056105182504e-21
rcf	1	0	8.7729398667608e-05
roh	1	0	0.00170030872105557
ron	2	1241	0.0287276107128506
rop	0	0	2.36056105182504e-21
rus	63	21213	0.00479107295366763
sah	1	0	6.31977776168581e-06
san	1	610	2.78239246513161e-09
sco	0	0	2.36056105182504e-21
sga	0	0	2.36056105182504e-21
sin	1	0	7.34263196588923e-06
slk	6	424	0.0245639561117785
slv	3	1302	0.0280792806742157
sme	3	2680	0.000166242533849305
snd	0	0	2.36056105182504e-21
som	1	377	4.7239859074114e-05
spa	10	1531	0.781829034249749
sqi	6	559	0.00096854377738418
srm	0	0	2.36056105182504e-21
srn	0	0	2.36056105182504e-21
sux	0	0	2.36056105182504e-21
swa	1	0	1.03016030566207e-05
swe	5	640	0.206667956156658
syr	0	0	2.36056105182504e-21
tab	1	0	2.04570840840695e-06
tam	4	1	1.5021247723039e-05
tat	1	0	2.67038008311686e-05
tbt	0	0	2.36056105182504e-21
tel	2	91	6.94079818893415e-06
tgk	1	0	2.8712978732284e-05
tha	1	0	0.00433830613495554
tkl	0	0	2.36056105182504e-21
tmh	0	0	2.36056105182504e-21
tuk	1	0	2.11511637226351e-05
tur	4	9669	0.0130295630850976
tyv	1	0	5.18733203560353e-06
tzm	0	0	2.36056105182504e-21
udm	1	0	1.05938471149645e-06
uig	2	185	0.00120507408490485
ukr	3	105	0.000410246523267558
urd	2	1203	4.11478808566867e-05
uzb	1	0	8.09881346685414e-05
vie	1	0	1.96534129236249e-05
wbp	0	0	2.36056105182504e-21
xal	1	0	1.20550674066837e-06
xno	0	0	2.36056105182504e-21
yid	1	169	1.05605519175607e-05
ykg	0	0	2.36056105182504e-21
yor	0	0	2.36056105182504e-21
yrk	0	0	2.36056105182504e-21
zho	3	2793	0.18570766357646
zul	1	0	9.23898528740531e-05
ssw	1	0	6.42712019993413e-05
xho	1	0	8.83729027490943e-05
smn	1	0	5.62840775582385e-06
beh	1	0	8.7729398667608e-05
box	1	0	0.000155213551488845
cme	1	0	0.000107974644513979
dos	1	0	7.42325681033606e-05
gng	1	0	9.44778139497317e-05
kzr	1	0	8.09809833854843e-05
las	1	0	6.07357375391132e-05
muy	1	0	6.07357375391132e-05
nnh	1	0	8.09809833854843e-05
wln	1	0	0.000141716720924598
wol	1	0	8.7729398667608e-05
xsm	1	0	0.000134968305642474
flr	1	0	1.25896589430669e-20
ife	1	0	2.51793178861338e-20
mif	1	0	2.51793178861338e-20
ted	1	0	1.88844884146003e-20
thd	1	0	1.25896589430669e-20
rom	1	0	9.87249976610382e-06
dyo	1	0	1.8480965855731e-06
epo	1	0	2.25188367217612e-05
new	1	0	4.35435114242544e-05
sma	1	0	1.01236290455598e-05
amh	1	0	9.86323696910489e-06
eve	1	0	4.38366087515772e-07
pus	1	0	9.57099291076105e-06
arg	1	0	0.000143069136356158
que	1	0	8.34569962077589e-05
kur	1	0	0.000162305519310482
rmu	1	0	1.73335991496631e-05
smj	1	0	3.15156348175693e-05
hmn	1	0	3.53991434916939e-05
hni	1	0	1.55756231363453e-05
iii	1	0	2.54873833140196e-05
kac	1	0	9.06218073387364e-05
lhu	1	0	4.24789721900327e-05
lis	1	0	0.000110445327694085
nbf	1	0	2.69033490536874e-05
tiz	1	0	0.000202483100772489
wbm	1	0	3.82310749710294e-05
yiz	1	0	0.000314344394206242
zha	1	0	0.000143012539706443
