Code	Language	Twitter EV	Wikipedia EV	Books EV	Twitter Bet	Wikipedia Bet	Books Bet
uzb	Uzbek	NA	NA	0.00033829	NA	NA	0
vec	Venetian	NA	0.00018149	NA	NA	0	NA
vie	Vietnamese	0.00204518	0.01183458	0.00142575	0	268	0
vls	Vlaams	NA	0.00043929	NA	NA	762	NA
wbm	Wa	NA	NA	0	NA	NA	0
wbp	Warlpiri	NA	NA	0.00010271	NA	NA	0
wln	Walloon	NA	NA	0	NA	NA	0
wol	Wolof	NA	NA	0	NA	NA	0
xal	Kalmyk	NA	NA	8.882e-05	NA	NA	0
xho	Xhosa	NA	NA	0	NA	NA	0
xno	Anglo-Norman	NA	NA	5.478e-05	NA	NA	0
xsm	Kasem	NA	NA	0	NA	NA	0
yid	Yiddish	1.112e-05	0.00049499	0.00334887	0	252	169
yiz	Azhe	NA	NA	0	NA	NA	0
ykg	Northern Yukaghir	NA	NA	1.045e-05	NA	NA	0
yor	Yoruba	NA	NA	9.586e-05	NA	NA	0
yrk	Nenets	NA	NA	2.155e-05	NA	NA	0
zha	Zhuang	NA	NA	0	NA	NA	0
zho	Chinese	0.00453649	0.09375027	0.01396375	264	8	2793
zul	Zulu	NA	6.997e-05	7.532e-05	NA	0	0
