source	target	exposure
bal	pus	1
heb	xuo	1
eng	agq	3
ben	mkd	6
pli	hin	3
lav	ukr	27
slk	lit	15
por	aze	1
spa	rom	1
hye	ukr	31
evn	ces	1
eng	ara	6684
hin	tgk	4
ukr	slv	1
shn	mya	3
heb	fra	1279
san	tur	2
grc	bkd	3
grc	nay	1
swe	por	122
uga	rus	1
por	nor	143
fra	cos	39
kik	rus	2
swe	fri	14
spa	est	207
mon	aze	2
ron	kir	3
hin	fra	75
eng	kwn	1
chv	aze	2
eng	obo	1
zho	fas	9
pus	kaz	3
fao	est	2
grc	afr	7
kor	oss	1
kat	cat	1
ave	fra	3
epo	kor	2
ron	cat	8
ron	kaz	1
nog	kaz	3
chu	pol	3
mol	hye	3
heb	adj	2
hye	kur	3
spa	por	5201
rus	crh	13
hat	ita	1
grc	ceb	2
grc	zmz	1
swa	deu	17
fra	wol	13
fra	ful	5
lbe	aze	1
kor	kat	1
hin	kat	1
spa	hbs	1112
ori	hun	2
est	deu	446
zho	ori	4
goh	eng	3
afr	heb	1
ben	bre	1
tur	kat	11
san	dan	23
abk	swe	1
ain	eng	1
tur	deu	689
khm	deu	8
uig	rus	33
fro	pcd	1
lah	urd	5
glg	ukr	1
tel	pol	2
fra	nld	11612
pus	ara	1
sqi	eng	268
aze	jpn	1
fra	tam	33
jrb	heb	2
sre	fra	1
pol	tur	29
lrl	fra	1
hbs	fin	24
hbs	epo	25
urd	tur	76
ara	tyv	1
grc	sjm	4
fra	bjt	2
oci	ita	3
nor	tur	30
frr	deu	5
grc	haz	1
rus	kpy	7
lat	pol	578
abk	est	2
chg	rus	5
zho	hun	129
eng	kaa	5
hye	hun	14
grc	jvn	5
eng	bre	58
cop	deu	16
ita	eus	122
lat	gmh	7
guj	hin	115
liv	fin	1
swe	dan	7513
rus	ori	99
wgg	eng	1
lit	kat	8
eus	hun	1
srd	lat	1
ben	fin	5
isl	heb	3
gle	glg	3
fra	wni	1
zho	hni	11
