	bweight.new	bcommon.num.new
nor (pp) dan	0.0458957699964506	2974
bul (pp) eng	0.00298713549427864	437
lat (pp) hbs	0.00870414779287681	392
fra (pp) slv	0.104813291308296	1962
pol (pp) spa	0.00246821895067931	565
ita (pp) zho	0.0108858739026337	682
rus (pp) eng	0.0846582908389955	12385
ara (pp) tur	0.0763853798214587	907
lat (pp) ita	0.0232659201069697	1392
eng (pp) lit	0.449990289376578	6951
cat (pp) eng	0.00600161318987792	878
zho (pp) mon	0.605447791993397	1467
nld (pp) swe	0.00783952683852249	562
deu (pp) slk	0.128557609083041	2525
eng (pp) ces	0.499425840290494	32184
nld (pp) fin	0.00726156772060254	336
eng (pp) bul	0.523463600341854	13475
deu (pp) slv	0.187136064960735	3503
deu (pp) spa	0.0892228386702197	20424
ita (pp) nor	0.00827472072817542	380
spa (pp) rus	0.0102208476296332	846
ita (pp) bul	0.015966125398182	411
rus (pp) tgk	0.740112994350282	786
eng (pp) ita	0.504245361858599	30169
lat (pp) hun	0.00980196039207842	539
ron (pp) rus	0.00554535350118398	459
zho (pp) eng	0.0133019809424857	1946
pol (pp) ces	0.0156419726265479	1008
fra (pp) est	0.0565882067459355	1166
eng (pp) fra	0.628139375919954	149788
ita (pp) fin	0.0164898100322016	763
spa (pp) dan	0.0114507939937345	742
eng (pp) ukr	0.0996898537882144	450
