name	num.exp	trans.to	degree.from	degree.to
kut	4	0	2	0
ojp	15	0	2	0
neb	0	4	0	2
tkl	69	102	5	6
ude	1	0	1	0
tkw	1	0	1	0
tkr	0	1	0	1
nld	18978	111371	68	116
dbq	0	19	0	3
oji	13	25	5	4
oci	452	204	12	13
kst	0	1	0	1
ksw	2	0	1	0
pwm	0	1	0	1
nga	0	17	0	4
bfd	0	6	0	2
jav	18	0	5	0
ngk	1	0	1	0
jao	1	2	1	1
jam	3	0	3	0
udl	0	2	0	2
yle	0	1	0	1
yml	0	1	0	1
ksj	0	1	0	1
mga	12	0	3	0
tbz	1	7	1	1
hit	8	0	3	0
dyu	4	6	1	4
ssw	2	16	1	1
kxc	0	7	0	2
mgo	0	4	0	2
tbt	12	3	1	1
tbw	0	3	0	1
nep	47	140	12	11
xon	0	8	0	3
dyo	1	7	1	1
hid	1	0	1	0
tbl	0	11	0	2
aby	0	1	0	1
ttt	4	0	1	0
hil	2	1	1	1
gen	0	3	0	1
hin	1469	3506	67	69
eme	1	0	1	0
crs	5	0	3	0
bar	1	2	1	2
bas	2	3	1	1
gba	0	14	0	3
unp	3	0	1	0
bay	0	2	0	1
ykg	21	1	3	1
aee	1	0	1	0
crg	1	0	1	0
cre	117	66	6	7
shh	1	0	1	0
knp	0	9	0	2
bal	5	1	4	1
bam	29	9	3	1
kaw	1	0	1	0
bak	357	502	24	16
shn	3	0	1	0
arp	3	0	2	0
ses	1	0	1	0
arw	1	1	1	1
arx	1	0	1	0
guc	1	0	1	0
nus	1	0	1	0
lns	5	15	1	3
ara	11884	12488	98	76
btg	1	0	1	0
arc	347	3	26	3
are	2	0	1	0
arg	5	64	3	9
ari	4	0	2	0
ark	1	0	1	0
arn	9	1	5	1
lee	0	9	0	2
gbb	1	0	1	0
muw	1	0	1	0
lus	1	0	1	0
dlg	12	0	2	0
yuc	1	0	1	0
muy	0	9	0	1
wol	13	16	3	3
lub	0	2	0	2
irk	1	0	1	0
mua	1	0	1	0
lug	4	0	1	0
lui	1	0	1	0
tca	3	2	1	1
wob	0	3	0	1
ken	0	11	0	2
tuz	0	3	0	2
kek	0	5	0	3
iku	108	304	15	13
hai	2	0	1	0
tur	2658	11874	58	62
omn	1	0	1	0
kea	3	1	1	1
tuk	434	741	43	46
omw	0	1	0	1
tuv	0	1	0	1
tuo	0	1	0	1
wti	0	2	0	1
ker	0	10	0	2
coq	1	0	1	0
cop	177	2	22	1
cos	50	50	4	9
cor	9	8	2	3
gwa	1	0	1	0
cot	1	0	1	0
ett	2	0	1	0
ilo	3	1	1	1
kjh	29	15	4	2
pdt	6	16	3	6
gwi	1	1	1	1
ilk	0	1	0	1
vut	0	3	0	2
wci	0	3	0	1
coe	0	1	0	1
ktb	0	2	0	1
orm	3	0	2	0
naw	0	1	0	1
tli	2	0	1	0
coj	1	0	1	0
com	2	0	2	0
ncf	0	1	0	1
