Code	unw.eig	unw.bet	exposure.eig	exposure.bet	common.eig	common.bet	Lang_Name
mkd	0.0874303178283097	0	0.0967870920978438	0	0.00417043667977409	0	Macedonian
mol	0.127161398349911	0	0.0777311181205243	0	0.00455865019588958	0	Moldavian
mon	0.041497800221478	0	0.0392844243318596	0	0.00064138360172781	0	Mongolian
mri	0.0342201951082279	0	0.210776584667534	0	0.000723703874509056	0	Maori
msa	0.0452337363075881	0	0.153441964425815	0	0.00864516021488423	0	Malay
nld	0.540485899013471	5.79484126984127	0.170580469921101	375	0.238003812975429	310.5	Dutch
nor	0.450551691773208	2.61111111111111	0.165506241218174	873	0.08990737568866	150.5	Norwegian
oci	0.0310885605812494	0	0.000119282017139874	0	0.000592170379761909	0	Occitan
pol	0.547185866425525	14.439880952381	0.158010387546465	215	0.148865930735378	234	Polish
por	0.351163110701693	0	0.161024666257198	0	0.152331933767982	0	Portuguese
ron	0.335430901597671	0	0.12696026093825	0	0.0351034224654529	0	Romanian
rus	0.857987629055576	1454.82380952381	0.347824517880663	2036	0.189957284248102	1705.5	Russian
san	0.0702282567602265	0	0.00413149030998486	0	0.00337440982235734	0	Sanskrit
sin	0.0342201951082279	0	0.0976193193293635	0	0.000705027645489464	0	Sinhala
slk	0.361352292038189	0.476190476190476	0.105179178652946	44	0.0261683442331947	239	Slovak
slv	0.244468049041303	0	0.136505538822853	0	0.0335501703790799	11	Slovenian
spa	0.777157259129471	212.728174603175	0.191641886192087	859	0.444531978386702	691	Spanish
sqi	0.199333625744642	65	0.0907171002046054	65	0.00772002411493943	163	Albanian
swe	0.571497110044562	11.4654761904762	0.188867513515715	11	0.156881633720307	44	Swedish
tam	0.0635806991749557	0	0.101122441106274	0	0.00176740729316417	0	Tamil
tat	0.0587210081334555	0	0.0676537367660886	0	0.000478937575515148	0	Tatar
tgk	0.0293605040667277	0	0.0558353925076339	0	0.000348560124402688	0	Tajik
tha	0.0342201951082279	0	0.190910820910321	0	0.00252129091764445	0	Thai
tuk	0.0293605040667277	0	0.0589483834549953	0	0.000256763755762287	0	Turkmen
tur	0.170603552474493	0	0.122856702329657	0	0.0184702631031929	0	Turkish
uig	0.041497800221478	0	0.0421160298443399	0	0.000415307573947681	0	Uighur
ukr	0.127161398349911	0	0.0587778865508963	322	0.00343885958185339	120	Ukrainian
urd	0.0684403902164559	0	0.0712475241014864	0	0.00148942926431218	0	Urdu
uzb	0.0587210081334554	0	0.061137442913895	0	0.0012128650639203	0	Uzbek
vie	0.0293605040667277	0	0.0516382212277057	0	0.000238581866321434	0	Vietnamese
yid	0.0666805708676917	0	0.000638032098557176	0	0.00136766703801625	0	Yiddish
zho	0.354682260471155	111.59880952381	0.18226239394415	133	0.123441721617517	122	Chinese
